name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Dwight Howard,/players/h/howardw01.html,1,2004,1,1,,2004
Shaun Livingston,/players/l/livinsh01.html,2,2004,1,4,,2004
Al Jefferson,/players/j/jeffeal01.html,3,2004,1,15,,2004
Josh Smith,/players/s/smithjo03.html,4,2004,1,17,,2004
Rudy Gay,/players/g/gayru01.html,5,2006,1,8,University of Connecticut,2004
Sebastian Telfair,/players/t/telfase01.html,6,2004,1,13,,2004
Marvin Williams,/players/w/willima02.html,7,2005,1,2,University of North Carolina,2004
Robert Swift,/players/s/swiftro01.html,8,2004,1,12,,2004
Malik Hairston,/players/h/hairsma01.html,9,2008,2,48,University of Oregon,2004
Randolph Morris,/players/m/morrira01.html,10,,,,University of Kentucky,2004
Glen Davis,/players/d/davisgl01.html,11,2007,2,35,Louisiana State University,2004
LaMarcus Aldridge,/players/a/aldrila01.html,12,2006,1,2,University of Texas at Austin,2004
D.J. White,/players/w/whitedj01.html,13,2008,1,29,Indiana University,2004
Joe Crawford,/players/c/crawfjo01.html,14,2008,2,58,University of Kentucky,2004
Darius Washington,/players/w/washida01.html,15,,,,University of Memphis,2004
Juan Palacios,https://www.sports-reference.com/cbb/players/juan-palacios-1.html,16,,,,University of Louisville,2004
Jawann McClellan,https://www.sports-reference.com/cbb/players/jawann-mcclellan-1.html,17,,,,University of Arizona,2004
DeMarcus Nelson,/players/n/nelsode01.html,18,,,,Duke University,2004
Daniel Gibson,/players/g/gibsoda01.html,19,2006,2,42,University of Texas at Austin,2004
Jordan Farmar,/players/f/farmajo01.html,20,2006,1,26,"University of California, Los Angeles",2004
Rajon Rondo,/players/r/rondora01.html,21,2006,1,21,University of Kentucky,2004
Mike Williams,https://www.sports-reference.com/cbb/players/mike-williams-5.html,22,,,,University of Cincinnati,2004
J.R. Smith,/players/s/smithjr01.html,23,2004,1,18,,2004
A.J. Price,/players/p/priceaj01.html,24,2009,2,52,University of Connecticut,2004
Corey Brewer,/players/b/breweco01.html,25,2007,1,7,University of Florida,2004
Arron Afflalo,/players/a/afflaar01.html,26,2007,1,27,"University of California, Los Angeles",2004
Jason Rich,https://www.sports-reference.com/cbb/players/jason-rich-1.html,27,,,,Florida State University,2004
Marquise Gray,https://www.sports-reference.com/cbb/players/marquise-gray-1.html,28,,,,Michigan State University,2004
Kyle Lowry,/players/l/lowryky01.html,29,2006,1,24,Villanova University,2004
Robert Vaden,https://www.sports-reference.com/cbb/players/robert-vaden-1.html,30,,,,University of Alabama at Birmingham,2004
Russell Robinson,https://www.sports-reference.com/cbb/players/russell-robinson-1.html,31,,,,University of Kansas,2004
Roy Bright,https://www.sports-reference.com/cbb/players/roy-bright-1.html,32,,,,Delaware State University,2004
Gabe Pruitt,/players/p/pruitga01.html,33,2007,2,32,University of Southern California,2004
Cedric Simmons,/players/s/simmoce01.html,34,2006,1,15,North Carolina State University,2004
Shawne Williams,/players/w/willish03.html,34,2006,1,17,University of Memphis,2004
Josh Wright,https://www.sports-reference.com/cbb/players/josh-wright-1.html,36,,,,Syracuse University,2004
Greg Stiemsma,/players/s/stiemgr01.html,37,,,,University of Wisconsin,2004
Ronald Steele,https://www.sports-reference.com/cbb/players/ronald-steele-1.html,38,,,,University of Alabama,2004
Bryce Taylor,https://www.sports-reference.com/cbb/players/bryce-taylor-1.html,39,,,,University of Oregon,2004
Brian Johnson,https://www.sports-reference.com/cbb/players/brian-johnson-3.html,40,,,,Mississippi State University,2004
Isaiah Swann,https://www.sports-reference.com/cbb/players/isaiah-swann-1.html,40,,,,Florida State University,2004
Dorell Wright,/players/w/wrighdo01.html,40,2004,1,19,,2004
Sasha Kaun,https://www.sports-reference.com/cbb/players/sasha-kaun-1.html,43,,,,University of Kansas,2004
Steven Hill,/players/h/hillst01.html,44,,,,University of Arkansas,2004
