name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Andrew Wiggins,/players/w/wiggian01.html,1,2014,1,1,University of Kansas,2013
Julius Randle,/players/r/randlju01.html,2,2014,1,7,University of Kentucky,2013
Jabari Parker,/players/p/parkeja01.html,3,2014,1,2,Duke University,2013
Aaron Gordon,/players/g/gordoaa01.html,4,2014,1,4,University of Arizona,2013
Andrew Harrison,/players/h/harrian01.html,5,2015,2,44,University of Kentucky,2013
Aaron Harrison,/players/h/harriaa01.html,6,,,,University of Kentucky,2013
Chris Walker,/players/w/walkech02.html,7,,,,University of Florida,2013
Noah Vonleh,/players/v/vonleno01.html,8,2014,1,9,Indiana University,2013
James Young,/players/y/youngja01.html,9,2014,1,17,University of Kentucky,2013
Dakari Johnson,/players/j/johnsda04.html,9,2015,2,48,University of Kentucky,2013
Kasey Hill,https://www.sports-reference.com/cbb/players/kasey-hill-1.html,11,,,,University of Florida,2013
Jarell Martin,/players/m/martija01.html,12,2015,1,25,Louisiana State University,2013
Wayne Selden,/players/s/seldewa01.html,13,,,,University of Kansas,2013
Isaiah Hicks,/players/h/hicksis01.html,14,,,,University of North Carolina,2013
Bobby Portis,/players/p/portibo01.html,14,2015,1,22,University of Arkansas,2013
Joel Embiid,/players/e/embiijo01.html,16,2014,1,3,University of Kansas,2013
Rondae Hollis-Jefferson,/players/h/holliro01.html,16,2015,1,23,University of Arizona,2013
Marcus Lee,/players/l/leema02.html,18,,,,University of Kentucky,2013
Isaac Hamilton,/players/h/hamilis01.html,19,,,,"University of California, Los Angeles",2013
Austin Nichols,https://www.sports-reference.com/cbb/players/austin-nichols-2.html,20,,,,University of Virginia,2013
Jabari Bird,/players/b/birdja01.html,20,2017,2,56,University of California,2013
Robert Hubbs,https://www.sports-reference.com/cbb/players/robert-hubbs-1.html,22,,,,University of Tennessee,2013
Tyler Ennis,/players/e/ennisty01.html,23,2014,1,18,Syracuse University,2013
Anthony 'Cat' Barber,/players/b/barbeca01.html,24,,,,North Carolina State University,2013
Jermaine Lawrence,https://www.sports-reference.com/cbb/players/jermaine-lawrence-1.html,25,,,,Manhattan College,2013
Rysheed Jordan,https://www.sports-reference.com/cbb/players/rysheed-jordan-1.html,26,,,,St. John's University,2013
Keith Frazier,https://www.sports-reference.com/cbb/players/keith-frazier-1.html,27,,,,Southern Methodist University,2013
Nigel Williams-Goss,/players/w/willini01.html,27,2017,2,55,Gonzaga University,2013
Zak Irvin,https://www.sports-reference.com/cbb/players/zak-irvin-1.html,29,,,,University of Michigan,2013
JaJuan Johnson,https://www.sports-reference.com/cbb/players/jajuan-johnson-2.html,30,,,,Marquette University,2013
Kuran Iverson,https://www.sports-reference.com/cbb/players/kuran-iverson-1.html,30,,,,University of Rhode Island,2013
Semi Ojeleye,/players/o/ojelese01.html,32,2017,2,37,Southern Methodist University,2013
Demetrius Jackson,/players/j/jacksde01.html,33,2016,2,45,University of Notre Dame,2013
Matt Jones,/players/j/jonesma04.html,34,,,,Duke University,2013
Sindarius Thornwell,/players/t/thornsi01.html,34,2017,2,48,University of South Carolina,2013
Brannen Greene,https://www.sports-reference.com/cbb/players/brannen-greene-1.html,36,,,,University of Kansas,2013
Tyler Roberson,https://www.sports-reference.com/cbb/players/tyler-roberson-1.html,37,,,,Syracuse University,2013
Jordan Mickey,/players/m/mickejo01.html,38,2015,2,33,Louisiana State University,2013
Eric Mika,https://www.sports-reference.com/cbb/players/eric-mika-2.html,39,,,,Brigham Young University,2013
Conner Frankamp,https://www.sports-reference.com/cbb/players/conner-frankamp-1.html,40,,,,Wichita State University,2013
Nick King,/players/k/kingni01.html,40,,,,University of Alabama,2013
Johnathan Williams,/players/w/willijo04.html,42,,,,Gonzaga University,2013
Xavier Rathan-Mayes,/players/r/rathaxa01.html,43,,,,Florida State University,2013
Derrick Walton,/players/w/waltode01.html,44,,,,University of Michigan,2013
Christian Wood,/players/w/woodch01.html,45,,,,"University of Nevada, Las Vegas",2013
Roddy Peters,https://www.sports-reference.com/cbb/players/roddy-peters-1.html,46,,,,University of South Florida,2013
Moses Kingsley,https://www.sports-reference.com/cbb/players/moses-kingsley-1.html,47,,,,University of Arkansas,2013
Brandon Austin,/players/a/austibr02.html,48,,,,,2013
Zach LaVine,/players/l/lavinza01.html,49,2014,1,13,"University of California, Los Angeles",2013
Anton Gill,https://www.sports-reference.com/cbb/players/anton-gill-1.html,50,,,,University of Louisville,2013
Troy Williams,/players/w/willitr02.html,51,,,,Indiana University,2013
Matt Thomas,https://www.sports-reference.com/cbb/players/matt-thomas-2.html,52,,,,Iowa State University,2013
Terry Rozier,/players/r/roziete01.html,53,2015,1,16,University of Louisville,2013
Deonte Burton,/players/b/burtode02.html,54,,,,Iowa State University,2013
Devin Williams,/players/w/willide03.html,55,,,,West Virginia University,2013
Kennedy Meeks,/players/m/meekske01.html,56,,,,University of North Carolina,2013
Kendrick Nunn,/players/n/nunnke01.html,57,,,,University of Illinois at Urbana-Champaign,2013
