name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Derrick Favors,/players/f/favorde01.html,1,2010,1,3,Georgia Institute of Technology,2009
John Wall,/players/w/walljo01.html,2,2010,1,1,University of Kentucky,2009
DeMarcus Cousins,/players/c/couside01.html,3,2010,1,5,University of Kentucky,2009
Avery Bradley,/players/b/bradlav01.html,4,2010,1,19,University of Texas at Austin,2009
John Henson,/players/h/hensojo01.html,5,2012,1,14,University of North Carolina,2009
Xavier Henry,/players/h/henryxa01.html,6,2010,1,12,University of Kansas,2009
Renardo Sidney,https://www.sports-reference.com/cbb/players/renardo-sidney-1.html,7,,,,Mississippi State University,2009
Lance Stephenson,/players/s/stephla01.html,8,2010,2,40,University of Cincinnati,2009
Kenny Boynton,https://www.sports-reference.com/cbb/players/kenny-boynton-1.html,9,,,,University of Florida,2009
Tiny Gallon,https://www.sports-reference.com/cbb/players/tiny-gallon-1.html,10,,,,University of Oklahoma,2009
Abdul Gaddy,/players/g/gaddyab01.html,11,,,,University of Washington,2009
Mouphtaou Yarou,https://www.sports-reference.com/cbb/players/mouphtaou-yarou-1.html,12,,,,Villanova University,2009
Dante Taylor,https://www.sports-reference.com/cbb/players/dante-taylor-1.html,13,,,,University of Pittsburgh,2009
Ryan Kelly,/players/k/kellyry01.html,14,2013,2,48,Duke University,2009
Wally Judge,https://www.sports-reference.com/cbb/players/wally-judge-1.html,15,,,,Rutgers University,2009
Alex Oriakhi,/players/o/oriakal01.html,16,2013,2,57,University of Missouri,2009
Michael Snaer,/players/s/snaermi01.html,17,,,,Florida State University,2009
Mason Plumlee,/players/p/plumlma01.html,18,2013,1,22,Duke University,2009
Dominic Cheek,https://www.sports-reference.com/cbb/players/dominic-cheek-1.html,19,,,,Villanova University,2009
Daniel Orton,/players/o/ortonda01.html,19,2010,1,29,University of Kentucky,2009
Milton Jennings,https://www.sports-reference.com/cbb/players/milton-jennings-1.html,21,,,,Clemson University,2009
Jordan Hamilton,/players/h/hamiljo02.html,22,2011,1,26,University of Texas at Austin,2009
Maalik Wayns,/players/w/waynsma01.html,23,,,,Villanova University,2009
Dexter Strickland,/players/s/stricde01.html,24,,,,University of North Carolina,2009
Elijah Johnson,https://www.sports-reference.com/cbb/players/elijah-johnson-1.html,25,,,,University of Kansas,2009
Lorenzo Brown,/players/b/brownlo01.html,26,2013,2,52,North Carolina State University,2009
Peyton Siva,/players/s/sivape01.html,27,2013,2,56,University of Louisville,2009
Thomas Robinson,/players/r/robinth01.html,28,2012,1,5,University of Kansas,2009
John Jenkins,/players/j/jenkijo01.html,29,2012,1,23,Vanderbilt University,2009
Tommy Mason-Griffin,https://www.sports-reference.com/cbb/players/tommy-mason-griffin-1.html,30,,,,University of Oklahoma,2009
Royce White,/players/w/whitero03.html,31,2012,1,16,Iowa State University,2009
Tyler Honeycutt,/players/h/honeyty01.html,32,2011,2,35,"University of California, Los Angeles",2009
Durand Scott,/players/s/scottdu01.html,33,,,,University of Miami,2009
Mfon Udofia,https://www.sports-reference.com/cbb/players/mfon-udofia-1.html,34,,,,Georgia Institute of Technology,2009
D.J. Richardson,https://www.sports-reference.com/cbb/players/dj-richardson-1.html,35,,,,University of Illinois at Urbana-Champaign,2009
Aaric Murray,https://www.sports-reference.com/cbb/players/aaric-murray-1.html,36,,,,Texas Southern University,2009
David Wear,/players/w/wearda01.html,37,,,,"University of California, Los Angeles",2009
Travis Wear,/players/w/weartr01.html,38,,,,"University of California, Los Angeles",2009
Ari Stewart,https://www.sports-reference.com/cbb/players/ari-stewart-1.html,39,,,,University of Southern California,2009
Jamil Wilson,https://www.sports-reference.com/cbb/players/jamil-wilson-1.html,40,,,,Marquette University,2009
Nolan Dennis,https://www.sports-reference.com/cbb/players/nolan-dennis-1.html,41,,,,Baylor University,2009
Noel Johnson,https://www.sports-reference.com/cbb/players/noel-johnson-1.html,42,,,,Auburn University,2009
Erik Murphy,/players/m/murpher01.html,43,2013,2,49,University of Florida,2009
Leslie McDonald,https://www.sports-reference.com/cbb/players/leslie-mcdonald-1.html,44,,,,University of North Carolina,2009
Christian Watford,/players/w/watfoch01.html,45,,,,Indiana University,2009
Rodney Williams,/players/w/williro03.html,46,,,,University of Minnesota,2009
Junior Cadougan,https://www.sports-reference.com/cbb/players/junior-cadougan-1.html,47,,,,Marquette University,2009
Kawhi Leonard,/players/l/leonaka01.html,48,2011,1,15,San Diego State University,2009
Brandon Paul,/players/p/paulbr01.html,49,,,,University of Illinois at Urbana-Champaign,2009
Jamal Coombs-McDaniel,https://www.sports-reference.com/cbb/players/jamal-coombs-mcdaniel-1.html,50,,,,University of Connecticut,2009
Ray Penn,https://www.sports-reference.com/cbb/players/ray-penn-1.html,51,,,,Texas Southern University,2009
Eric Bledsoe,/players/b/bledser01.html,52,2010,1,18,University of Kentucky,2009
Kyryl Natyazhko,https://www.sports-reference.com/cbb/players/kyryl-natyazhko-1.html,53,,,,University of Arizona,2009
Rakeem Buckles,https://www.sports-reference.com/cbb/players/rakeem-buckles-1.html,54,,,,Florida International University,2009
Shawn Williams,https://www.sports-reference.com/cbb/players/shawn-williams-2.html,55,,,,Southern Methodist University,2009
Solomon Hill,/players/h/hillso01.html,56,2013,1,23,University of Arizona,2009
Mike Moser,https://www.sports-reference.com/cbb/players/mike-moser-1.html,57,,,,University of Oregon,2009
Maurice Creek,https://www.sports-reference.com/cbb/players/maurice-creek-1.html,58,,,,George Washington University,2009
Terrell Vinson,https://www.sports-reference.com/cbb/players/terrell-vinson-1.html,59,,,,University of Massachusetts Amherst,2009
Richard Howell,/players/h/howelri01.html,60,,,,North Carolina State University,2009
