name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
LeBron James,/players/j/jamesle01.html,1,2003,1,1,,2003
Luol Deng,/players/d/denglu01.html,2,2004,1,7,Duke University,2003
Shannon Brown,/players/b/brownsh01.html,3,2006,1,25,Michigan State University,2003
Ndudi Ebi,/players/e/ebind01.html,4,2003,1,26,,2003
Kendrick Perkins,/players/p/perkike01.html,5,2003,1,27,,2003
Chris Paul,/players/p/paulch01.html,6,2005,1,4,Wake Forest University,2003
David Padgett,https://www.sports-reference.com/cbb/players/david-padgett-1.html,7,,,,University of Louisville,2003
Brian Butch,https://www.sports-reference.com/cbb/players/brian-butch-1.html,7,,,,University of Wisconsin,2003
Leon Powe,/players/p/powele01.html,9,2006,2,49,University of California,2003
Kris Humphries,/players/h/humphkr01.html,10,2004,1,14,University of Minnesota,2003
Von Wafer,/players/w/wafervo01.html,11,2005,2,39,Florida State University,2003
Brandon Bass,/players/b/bassbr01.html,12,2005,2,33,Louisiana State University,2003
Olu Famutimi,https://www.sports-reference.com/cbb/players/olu-famutimi-1.html,13,,,,University of Arkansas,2003
Travis Outlaw,/players/o/outlatr01.html,14,2003,1,23,,2003
Linas Kleiza,/players/k/kleizli01.html,14,2005,1,27,University of Missouri,2003
J.R. Giddens,/players/g/giddejr01.html,14,2008,1,30,University of New Mexico,2003
Mike Jones,https://www.sports-reference.com/cbb/players/mike-jones-2.html,17,,,,University of Maryland,2003
Charlie Villanueva,/players/v/villach01.html,18,2005,1,7,University of Connecticut,2003
Trevor Ariza,/players/a/arizatr01.html,19,2004,2,43,"University of California, Los Angeles",2003
James Lang,/players/l/langja01.html,20,2003,2,48,,2003
Drew Lavender,https://www.sports-reference.com/cbb/players/drew-lavender-1.html,21,,,,Xavier University,2003
Dion Harris,https://www.sports-reference.com/cbb/players/dion-harris-1.html,22,,,,University of Michigan,2003
Brandon Cotton,https://www.sports-reference.com/cbb/players/brandon-cotton-1.html,23,,,,University of Detroit Mercy,2003
Regis Koundjia,https://www.sports-reference.com/cbb/players/regis-koundjia-1.html,24,,,,George Washington University,2003
Mustafa Shakur,/players/s/shakumu01.html,25,,,,University of Arizona,2003
Ivan Harris,https://www.sports-reference.com/cbb/players/ivan-harris-1.html,26,,,,Ohio State University,2003
Ekene Ibekwe,https://www.sports-reference.com/cbb/players/ekene-ibekwe-1.html,27,,,,University of Maryland,2003
Rich McBride,https://www.sports-reference.com/cbb/players/rich-mcbride-1.html,28,,,,University of Illinois at Urbana-Champaign,2003
Chris Taft,/players/t/taftch01.html,29,2005,2,42,University of Pittsburgh,2003
Jackie Butler,/players/b/butleja01.html,30,,,,,2003
Demetris Nichols,/players/n/nichode01.html,31,2007,2,53,Syracuse University,2003
Aaron Brooks,/players/b/brookaa01.html,32,2007,1,26,University of Oregon,2003
Sean Banks,https://www.sports-reference.com/cbb/players/sean-banks-1.html,33,,,,University of Memphis,2003
Darryl Watkins,/players/w/watkida01.html,34,,,,Syracuse University,2003
Ayinde Ubaka,https://www.sports-reference.com/cbb/players/ayinde-ubaka-1.html,35,,,,University of California,2003
Rodrick Stewart,https://www.sports-reference.com/cbb/players/rodrick-stewart-1.html,36,,,,University of Kansas,2003
Tack Minor,https://www.sports-reference.com/cbb/players/tack-minor-1.html,37,,,,Louisiana State University,2003
Thomas Gardner,/players/g/gardnth01.html,38,,,,University of Missouri,2003
Gary Forbes,/players/f/forbega01.html,39,,,,University of Massachusetts Amherst,2003
Ronnie Brewer,/players/b/brewero02.html,39,2006,1,14,University of Arkansas,2003
Marcus Williams,/players/w/willima03.html,41,2006,1,22,University of Connecticut,2003
Terrence Roberts,https://www.sports-reference.com/cbb/players/terrence-roberts-1.html,42,,,,Syracuse University,2003
Chris Richard,/players/r/richach01.html,43,2007,2,41,University of Florida,2003
Martin Iti,https://www.sports-reference.com/cbb/players/martin-iti-1.html,44,,,,New Mexico State University,2003
Will Sheridan,https://www.sports-reference.com/cbb/players/will-sheridan-1.html,45,,,,Villanova University,2003
Mohamed Abukar,https://www.sports-reference.com/cbb/players/mohamed-abukar-1.html,46,,,,San Diego State University,2003
Brandon Jenkins,https://www.sports-reference.com/cbb/players/brandon-jenkins-1.html,47,,,,University of Louisville,2003
Shagari Alleyne,https://www.sports-reference.com/cbb/players/shagari-alleyne-1.html,48,,,,University of Kentucky,2003
Alexander Johnson,/players/j/johnsal01.html,49,2006,2,45,Florida State University,2003
Gary Ervin,https://www.sports-reference.com/cbb/players/gary-ervin-1.html,50,,,,Mississippi State University,2003
Drew Naymick,https://www.sports-reference.com/cbb/players/drew-naymick-1.html,51,,,,Michigan State University,2003
Courtney Sims,/players/s/simsco01.html,52,,,,University of Michigan,2003
Brian Randle,https://www.sports-reference.com/cbb/players/brian-randle-1.html,53,,,,University of Illinois at Urbana-Champaign,2003
Cartier Martin,/players/m/martica01.html,54,,,,Kansas State University,2003
Omar Wilkes,https://www.sports-reference.com/cbb/players/omar-wilkes-1.html,55,,,,University of California,2003
Lodrick Stewart,https://www.sports-reference.com/cbb/players/lodrick-stewart-1.html,56,,,,University of Southern California,2003
Brandon Foust,https://www.sports-reference.com/cbb/players/brandon-foust-1.html,57,,,,Southeast Missouri State University,2003
Corey Gibbs,https://www.sports-reference.com/cbb/players/corey-gibbs-1.html,58,,,,University of Georgia,2003
Major Wingate,https://www.sports-reference.com/cbb/players/major-wingate-1.html,59,,,,University of Tennessee,2003
Reyshawn Terry,https://www.sports-reference.com/cbb/players/reyshawn-terry-1.html,60,,,,University of North Carolina,2003
J.R. Reynolds,https://www.sports-reference.com/cbb/players/jr-reynolds-2.html,61,,,,University of Virginia,2003
