name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Jahlil Okafor,/players/o/okafoja01.html,1,2015,1,3,Duke University,2014
Emmanuel Mudiay,/players/m/mudiaem01.html,2,2015,1,7,,2014
Stanley Johnson,/players/j/johnsst04.html,3,2015,1,8,University of Arizona,2014
Cliff Alexander,/players/a/alexacl01.html,4,,,,University of Kansas,2014
Karl-Anthony Towns,/players/t/townska01.html,5,2015,1,1,University of Kentucky,2014
Myles Turner,/players/t/turnemy01.html,6,2015,1,11,University of Texas at Austin,2014
Tyus Jones,/players/j/jonesty01.html,7,2015,1,24,Duke University,2014
Kelly Oubre,/players/o/oubreke01.html,8,2015,1,15,University of Kansas,2014
Justin Jackson,/players/j/jacksju01.html,9,2017,1,15,University of North Carolina,2014
Rashad Vaughn,/players/v/vaughra01.html,10,2015,1,17,"University of Nevada, Las Vegas",2014
Kevon Looney,/players/l/looneke01.html,11,2015,1,30,"University of California, Los Angeles",2014
Trey Lyles,/players/l/lylestr01.html,12,2015,1,12,University of Kentucky,2014
Justise Winslow,/players/w/winslju01.html,13,2015,1,10,Duke University,2014
Isaiah Whitehead,/players/w/whiteis01.html,14,2016,2,42,Seton Hall University,2014
Theo Pinson,/players/p/pinsoth01.html,15,,,,University of North Carolina,2014
D'Angelo Russell,/players/r/russeda01.html,16,2015,1,2,Ohio State University,2014
Daniel Hamilton,/players/h/hamilda02.html,17,2016,2,56,University of Connecticut,2014
Tyler Ulis,/players/u/ulisty01.html,18,2016,2,34,University of Kentucky,2014
Chris McCollough,/players/m/mcculch01.html,19,2015,1,29,Syracuse University,2014
Devin Robinson,/players/r/robinde01.html,20,,,,University of Florida,2014
James Blackmon,/players/b/blackja02.html,20,,,,Indiana University,2014
Dwayne Morgan,https://www.sports-reference.com/cbb/players/dwayne-morgan-1.html,22,,,,"University of Nevada, Las Vegas",2014
Devin Booker,/players/b/bookede01.html,23,2015,1,13,University of Kentucky,2014
Grayson Allen,/players/a/allengr01.html,24,2018,1,21,Duke University,2014
Shaqquan Aaron,https://www.sports-reference.com/cbb/players/shaqquan-aaron-1.html,25,,,,University of Southern California,2014
Joel Berry,/players/b/berryjo01.html,25,,,,University of North Carolina,2014
Kameron Chatman,https://www.sports-reference.com/cbb/players/kameron-chatman-1.html,27,,,,University of Michigan,2014
Isaac Copeland,https://www.sports-reference.com/cbb/players/isaac-copeland-1.html,28,,,,Georgetown University,2014
Keita Bates-Diop,/players/b/bateske01.html,29,2018,2,48,Ohio State University,2014
JaQuan Lyle,https://www.sports-reference.com/cbb/players/jaquan-lyle-1.html,30,,,,Ohio State University,2014
Brandone Francis,https://www.sports-reference.com/cbb/players/brandone-francis-1.html,31,,,,University of Florida,2014
Goodluck Okonoboh,https://www.sports-reference.com/cbb/players/goodluck-okonoboh-1.html,32,,,,"University of Nevada, Las Vegas",2014
Thomas Welsh,/players/w/welshth01.html,33,2018,2,58,"University of California, Los Angeles",2014
Melo Trimble,/players/t/trimbme01.html,34,,,,University of Maryland,2014
Reid Travis,https://www.sports-reference.com/cbb/players/reid-travis-1.html,35,,,,Stanford University,2014
Jonah Bolden,/players/b/boldejo01.html,36,2017,2,36,"University of California, Los Angeles",2014
Quentin Snider,https://www.sports-reference.com/cbb/players/quentin-snider-1.html,37,,,,University of Louisville,2014
Trevon Bluiett,/players/b/bluietr01.html,38,,,,Xavier University,2014
Terry Larrier,/players/l/larrite01.html,39,,,,University of Connecticut,2014
Craig Victor,https://www.sports-reference.com/cbb/players/craig-victor-1.html,39,,,,Louisiana State University,2014
Jordan McLaughlin,/players/m/mclaujo01.html,41,,,,University of Southern California,2014
Angel Delgado,/players/d/delgaan01.html,42,,,,Seton Hall University,2014
JaQuan Newton,https://www.sports-reference.com/cbb/players/jaquan-newton-1.html,43,,,,University of Miami,2014
Parker Jackson-Cartwright,https://www.sports-reference.com/cbb/players/parker-jackson-cartwright-1.html,44,,,,University of Arizona,2014
Abdul-Malik Abu,https://www.sports-reference.com/cbb/players/abdul-malik-abu-1.html,45,,,,North Carolina State University,2014
Leron Black,https://www.sports-reference.com/cbb/players/leron-black-1.html,46,,,,University of Illinois at Urbana-Champaign,2014
Robert Johnson,/players/j/johnsro02.html,46,,,,Indiana University,2014
Malik Pope,https://www.sports-reference.com/cbb/players/malik-pope-1.html,48,,,,San Diego State University,2014
Chris Chiozza,/players/c/chiozch01.html,49,,,,University of Florida,2014
Jakeenan Gant,https://www.sports-reference.com/cbb/players/jakeenan-gant-1.html,50,,,,University of Missouri,2014
Paul White,https://www.sports-reference.com/cbb/players/paul-white-1.html,51,,,,University of Oregon,2014
Kaleb Joseph,https://www.sports-reference.com/cbb/players/kaleb-joseph-1.html,52,,,,Syracuse University,2014
Dion Wiley,https://www.sports-reference.com/cbb/players/dion-wiley-1.html,53,,,,University of Maryland,2014
Jae'Sean Tate,https://www.sports-reference.com/cbb/players/jaesean-tate-1.html,54,,,,Ohio State University,2014
T.J. Haws,https://www.sports-reference.com/cbb/players/tj-haws-1.html,55,,,,Brigham Young University,2014
Elbert Robinson,https://www.sports-reference.com/cbb/players/elbert-robinson-1.html,56,,,,Louisiana State University,2014
Brekkott Chapman,https://www.sports-reference.com/cbb/players/brekkott-chapman-1.html,57,,,,University of Utah,2014
Alex Robinson,https://www.sports-reference.com/cbb/players/alex-robinson-2.html,58,,,,Texas Christian University,2014
Michael Humphrey,https://www.sports-reference.com/cbb/players/michael-humphrey-1.html,59,,,,Stanford University,2014
Josh Perkins,https://www.sports-reference.com/cbb/players/josh-perkins-1.html,60,,,,Gonzaga University,2014
Ahmed Hill,https://www.sports-reference.com/cbb/players/ahmed-hill-1.html,61,,,,Virginia Polytechnic Institute and State University,2014
L.J. Peak,/players/p/peaklj01.html,62,,,,Georgetown University,2014
Caleb Martin,https://www.sports-reference.com/cbb/players/caleb-martin-1.html,62,,,,North Carolina State University,2014
Chinanu Onuaku,/players/o/onuakch01.html,64,2016,2,37,University of Louisville,2014
Devonte Graham,/players/g/grahade01.html,65,2018,2,34,University of Kansas,2014
Paschal Chukwu,https://www.sports-reference.com/cbb/players/paschal-chukwu-1.html,66,,,,Syracuse University,2014
Jaylen Johnson,/players/j/johnsja04.html,67,,,,University of Louisville,2014
Jared Terrell,/players/t/terreja01.html,68,,,,University of Rhode Island,2014
Robert Cartwright,https://www.sports-reference.com/cbb/players/robert-cartwright-1.html,69,,,,Stanford University,2014
Cody Martin,https://www.sports-reference.com/cbb/players/cody-martin-1.html,70,,,,North Carolina State University,2014
Elijah Stewart,/players/s/stewael01.html,71,,,,University of Southern California,2014
Justin Coleman,https://www.sports-reference.com/cbb/players/justin-coleman-2.html,72,,,,University of Alabama,2014
Ronnie Harrell,https://www.sports-reference.com/cbb/players/ronnie-harrell-1.html,73,,,,Creighton University,2014
Dominic Magee,https://www.sports-reference.com/cbb/players/dominic-magee-1.html,74,,,,,2014
Sandy Cohen,https://www.sports-reference.com/cbb/players/sandy-cohen-1.html,75,,,,Marquette University,2014
Jalen Lindsey,https://www.sports-reference.com/cbb/players/jalen-lindsey-1.html,76,,,,Providence College,2014
Trey Kell,https://www.sports-reference.com/cbb/players/trey-kell-1.html,76,,,,San Diego State University,2014
Lourawls Nairn,https://www.sports-reference.com/cbb/players/lourawls-tum-tum-nairn-1.html,78,,,,Michigan State University,2014
Zylan Cheatham,https://www.sports-reference.com/cbb/players/zylan-cheatham-1.html,79,,,,San Diego State University,2014
Shelton Mitchell,https://www.sports-reference.com/cbb/players/shelton-mitchell-1.html,80,,,,Vanderbilt University,2014
Donte Grantham,/players/g/grantdo01.html,80,,,,Clemson University,2014
Isaac Haas,/players/h/haasis01.html,82,,,,Purdue University,2014
B.J. Stith,https://www.sports-reference.com/cbb/players/bj-stith-1.html,83,,,,Old Dominion University,2014
Jordan Barnett,/players/b/barnejo01.html,84,,,,University of Texas at Austin,2014
Phil Booth,https://www.sports-reference.com/cbb/players/phil-booth-1.html,84,,,,Villanova University,2014
Jared Nickens,https://www.sports-reference.com/cbb/players/jared-nickens-1.html,86,,,,University of Maryland,2014
Justin Bibbs,/players/b/bibbsju01.html,87,,,,Virginia Polytechnic Institute and State University,2014
Joe Burton,https://www.sports-reference.com/cbb/players/joe-burton-2.html,88,,,,Oklahoma State University,2014
Trayvon Reed,https://www.sports-reference.com/cbb/players/trayvon-reed-1.html,89,,,,Auburn University,2014
Tadric Jackson,https://www.sports-reference.com/cbb/players/tadric-jackson-1.html,90,,,,Georgia Institute of Technology,2014
Vic Law,https://www.sports-reference.com/cbb/players/vic-law-1.html,90,,,,Northwestern University,2014
Domantas Sabonis,/players/s/sabondo01.html,92,2016,1,11,Gonzaga University,2014
Namon Wright,https://www.sports-reference.com/cbb/players/namon-wright-1.html,93,,,,University of Missouri,2014
Makinde London,https://www.sports-reference.com/cbb/players/makinde-london-1.html,94,,,,Xavier University,2014
Sviatoslav Mykhailiuk,/players/m/mykhasv01.html,95,2018,2,47,University of Kansas,2014
Michal Cekovsky,https://www.sports-reference.com/cbb/players/michal-cekovsky-1.html,96,,,,University of Maryland,2014
Devin Mitchell,https://www.sports-reference.com/cbb/players/devin-mitchell-1.html,96,,,,Georgia State University,2014
Mikal Bridges,/players/b/bridgmi01.html,96,2018,1,10,Villanova University,2014
Detrick Mostella,https://www.sports-reference.com/cbb/players/detrick-mostella-1.html,99,,,,University of Tennessee,2014
Malik Marquetti,https://www.sports-reference.com/cbb/players/malik-marquetti-1.html,100,,,,University of Southern California,2014
