name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Anthony Davis,/players/d/davisan02.html,1,2012,1,1,University of Kentucky,2011
Austin Rivers,/players/r/riverau01.html,2,2012,1,10,Duke University,2011
Michael Kidd-Gilchrist,/players/k/kiddgmi01.html,3,2012,1,2,University of Kentucky,2011
Bradley Beal,/players/b/bealbr01.html,4,2012,1,3,University of Florida,2011
Quincy Miller,/players/m/millequ01.html,5,2012,2,38,Baylor University,2011
James Michael McAdoo,/players/m/mcadoja01.html,6,,,,University of North Carolina,2011
Marquis Teague,/players/t/teaguma01.html,7,2012,1,29,University of Kentucky,2011
Le'Bryan Nash,/players/n/nashle01.html,8,,,,Oklahoma State University,2011
Adonis Thomas,/players/t/thomaad01.html,9,,,,University of Memphis,2011
Cody Zeller,/players/z/zelleco01.html,10,2013,1,4,Indiana University,2011
Khem Birch,/players/b/birchkh01.html,11,,,,"University of Nevada, Las Vegas",2011
P.J. Hairston,/players/h/hairspj02.html,11,2014,1,26,University of North Carolina,2011
Myck Kabongo,/players/k/kabonmy01.html,13,,,,University of Texas at Austin,2011
Josiah Turner,https://www.sports-reference.com/cbb/players/josiah-turner-1.html,14,,,,University of Arizona,2011
Kentavious Caldwell-Pope,/players/c/caldwke01.html,15,2013,1,8,University of Georgia,2011
Jabari Brown,/players/b/brownja01.html,16,,,,University of Missouri,2011
Branden Dawson,/players/d/dawsobr01.html,17,2015,2,56,Michigan State University,2011
Tony Wroten,/players/w/wroteto01.html,18,2012,1,25,University of Washington,2011
Kyle Wiltjer,/players/w/wiltjky01.html,19,,,,Gonzaga University,2011
B.J. Young,/players/y/youngbj01.html,20,,,,University of Arkansas,2011
Rakeem Christmas,/players/c/chrisra01.html,21,2015,2,36,Syracuse University,2011
Dorian Finney-Smith,/players/f/finnedo01.html,22,,,,University of Florida,2011
Nick Johnson,/players/j/johnsni01.html,22,2014,2,42,University of Arizona,2011
Chane Behanan,https://www.sports-reference.com/cbb/players/chane-behanan-1.html,24,,,,University of Louisville,2011
Michael Carter-Williams,/players/c/cartemi01.html,25,2013,1,11,Syracuse University,2011
Wayne Blackshear,https://www.sports-reference.com/cbb/players/wayne-blackshear-1.html,26,,,,University of Louisville,2011
Rodney Hood,/players/h/hoodro01.html,27,2014,1,23,Duke University,2011
Michael Gbinije,/players/g/gbinimi01.html,28,2016,2,49,Syracuse University,2011
Levi Randolph,/players/r/randole01.html,29,,,,University of Alabama,2011
Jahii Carson,https://www.sports-reference.com/cbb/players/jahii-carson-1.html,30,,,,Arizona State University,2011
Quinn Cook,/players/c/cookqu01.html,31,,,,Duke University,2011
Shannon Scott,/players/s/scottsh02.html,32,,,,Ohio State University,2011
DeAndre Daniels,/players/d/daniede01.html,32,2014,2,37,University of Connecticut,2011
Otto Porter,/players/p/porteot01.html,34,2013,1,3,Georgetown University,2011
Sir'Dominic Pointer,/players/p/pointsi01.html,35,2015,2,53,St. John's University,2011
Trevor Lacey,https://www.sports-reference.com/cbb/players/trevor-lacey-1.html,36,,,,North Carolina State University,2011
Adjehi Baru,https://www.sports-reference.com/cbb/players/adjehi-baru-1.html,37,,,,College of Charleston,2011
Maurice Harkless,/players/h/harklma01.html,38,2012,1,15,St. John's University,2011
Johnny O'Bryant,/players/o/obryajo01.html,39,2014,2,36,Louisiana State University,2011
Jakarr Sampson,/players/s/sampsja02.html,40,,,,St. John's University,2011
Ben McLemore,/players/m/mclembe01.html,41,2013,1,7,University of Kansas,2011
Rashad Madden,https://www.sports-reference.com/cbb/players/rashad-madden-1.html,42,,,,University of Arkansas,2011
Nick Faust,https://www.sports-reference.com/cbb/players/nick-faust-1.html,43,,,,"California State University, Long Beach",2011
LaQuinton Ross,https://www.sports-reference.com/cbb/players/laquinton-ross-1.html,44,,,,Ohio State University,2011
Dai-Jon Parker,https://www.sports-reference.com/cbb/players/dai-jon-parker-1.html,45,,,,Vanderbilt University,2011
