name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Amar'e Stoudemire,/players/s/stoudam01.html,1,2002,1,9,,2002
Carmelo Anthony,/players/a/anthoca01.html,2,2003,1,3,Syracuse University,2002
Raymond Felton,/players/f/feltora01.html,3,2005,1,5,University of North Carolina,2002
Rashad McCants,/players/m/mccanra01.html,4,2005,1,14,University of North Carolina,2002
Jason Fraser,https://www.sports-reference.com/cbb/players/jason-fraser-1.html,5,,,,Villanova University,2002
Chris Bosh,/players/b/boshch01.html,5,2003,1,4,Georgia Institute of Technology,2002
Paul Davis,/players/d/davispa01.html,7,2006,2,34,Michigan State University,2002
Shelden Williams,/players/w/willish02.html,8,2006,1,5,Duke University,2002
Sean May,/players/m/mayse01.html,9,2005,1,13,University of North Carolina,2002
DeAngelo Collins,,10,,,,,2002
J.J. Redick,/players/r/redicjj01.html,11,2006,1,11,Duke University,2002
Bracey Wright,/players/w/wrighbr02.html,12,2005,2,47,Indiana University,2002
Evan Burns,https://www.sports-reference.com/cbb/players/evan-burns-1.html,13,,,,San Diego State University,2002
Shavlik Randolph,/players/r/randosh01.html,14,,,,Duke University,2002
Daniel Horton,https://www.sports-reference.com/cbb/players/daniel-horton-1.html,15,,,,University of Michigan,2002
Anthony Roberson,/players/r/roberan02.html,16,,,,University of Florida,2002
Chris Rodgers,https://www.sports-reference.com/cbb/players/chris-rodgers-1.html,17,,,,University of Arizona,2002
Antoine Wright,/players/w/wrighan01.html,18,2005,1,15,Texas A&M University,2002
Dee Brown,/players/b/brownde03.html,19,2006,2,46,University of Illinois at Urbana-Champaign,2002
Hassan Adams,/players/a/adamsha01.html,20,2006,2,54,University of Arizona,2002
Sean Dockery,https://www.sports-reference.com/cbb/players/sean-dockery-1.html,21,,,,Duke University,2002
Brad Buckman,https://www.sports-reference.com/cbb/players/brad-buckman-1.html,22,,,,University of Texas at Austin,2002
Sani Ibrahim,,23,,,,,2002
Rashad Anderson,https://www.sports-reference.com/cbb/players/rashad-anderson-1.html,24,,,,University of Connecticut,2002
Lenny Cooke,,25,,,,,2002
Bryan Hopkins,https://www.sports-reference.com/cbb/players/bryan-hopkins-1.html,25,,,,Southern Methodist University,2002
Andre Iguodala,/players/i/iguodan01.html,27,2004,1,9,University of Arizona,2002
Elijah Ingram,https://www.sports-reference.com/cbb/players/elijah-ingram-1.html,28,,,,New Mexico State University,2002
Travis Garrison,https://www.sports-reference.com/cbb/players/travis-garrison-1.html,29,,,,University of Maryland,2002
Michael Thompson,https://www.sports-reference.com/cbb/players/michael-thompson-1.html,30,,,,Duke University,2002
Kelenna Azubuike,/players/a/azubuke01.html,31,,,,University of Kentucky,2002
Kevin Bookout,https://www.sports-reference.com/cbb/players/kevin-bookout-1.html,31,,,,University of Oklahoma,2002
Kennedy Winston,https://www.sports-reference.com/cbb/players/kennedy-winston-1.html,33,,,,University of Alabama,2002
Denham Brown,https://www.sports-reference.com/cbb/players/denham-brown-1.html,34,,,,University of Connecticut,2002
Jimmy McKinney,https://www.sports-reference.com/cbb/players/jimmy-mckinney-1.html,35,,,,University of Missouri,2002
Eric Williams,https://www.sports-reference.com/cbb/players/eric-williams-5.html,36,,,,Wake Forest University,2002
Torin Francis,https://www.sports-reference.com/cbb/players/torin-francis-1.html,37,,,,University of Notre Dame,2002
Gerry McNamara,https://www.sports-reference.com/cbb/players/gerry-mcnamara-1.html,38,,,,Syracuse University,2002
Allan Ray,/players/r/rayal01.html,39,,,,Villanova University,2002
Matt Walsh,/players/w/walshma01.html,40,,,,University of Florida,2002
Alexander Johnson,/players/j/johnsal01.html,41,2006,2,45,Florida State University,2002
Curtis Sumpter,https://www.sports-reference.com/cbb/players/curtis-sumpter-1.html,42,,,,Villanova University,2002
John Gilchrist,https://www.sports-reference.com/cbb/players/john-gilchrist-1.html,43,,,,University of Maryland,2002
Antonio Lawrence,https://www.sports-reference.com/cbb/players/antonio-lawrence-1.html,44,,,,San Jose State University,2002
Brandon Roy,/players/r/roybr01.html,45,2006,1,6,University of Washington,2002
Jarrett Jack,/players/j/jackja01.html,46,2005,1,22,Georgia Institute of Technology,2002
De'Angelo Alexander,https://www.sports-reference.com/cbb/players/deangelo-alexander-1.html,47,,,,University of North Carolina at Charlotte,2002
Deron Williams,/players/w/willide01.html,48,2005,1,3,University of Illinois at Urbana-Champaign,2002
Lester Abram,https://www.sports-reference.com/cbb/players/lester-abram-1.html,49,,,,University of Michigan,2002
Greg Brunner,https://www.sports-reference.com/cbb/players/greg-brunner-1.html,50,,,,University of Iowa,2002
Ike Diogu,/players/d/dioguik01.html,51,2005,1,9,Arizona State University,2002
Matt Trannon,https://www.sports-reference.com/cbb/players/matt-trannon-1.html,52,,,,Michigan State University,2002
Mario Boggan,https://www.sports-reference.com/cbb/players/mario-boggan-1.html,53,,,,Oklahoma State University,2002
Maurice Ager,/players/a/agerma01.html,54,2006,1,28,Michigan State University,2002
Eric Hicks,https://www.sports-reference.com/cbb/players/eric-hicks-1.html,55,,,,University of Cincinnati,2002
Randy Foye,/players/f/foyera01.html,56,2006,1,7,Villanova University,2002
Steve Novak,/players/n/novakst01.html,57,2006,2,32,Marquette University,2002
Derrick Byars,/players/b/byarsde01.html,58,2007,2,42,Vanderbilt University,2002
Jeff Horner,https://www.sports-reference.com/cbb/players/jeff-horner-1.html,59,,,,University of Iowa,2002
Chris McCray,/players/m/mccrach01.html,60,,,,University of Maryland,2002
Justin Gray,https://www.sports-reference.com/cbb/players/justin-gray-1.html,61,,,,Wake Forest University,2002
Julius Lamptey,,62,,,,,2002
Marshall Strickland,https://www.sports-reference.com/cbb/players/marshall-strickland-1.html,62,,,,Indiana University,2002
Robert Hite,/players/h/hitero01.html,64,,,,University of Miami,2002
Taquan Dean,https://www.sports-reference.com/cbb/players/taquan-dean-1.html,65,,,,University of Louisville,2002
Keith Butler,https://www.sports-reference.com/cbb/players/keith-butler-2.html,66,,,,Temple University,2002
Curtis Withers,https://www.sports-reference.com/cbb/players/curtis-withers-1.html,67,,,,University of North Carolina at Charlotte,2002
J.R. Morris,https://www.sports-reference.com/cbb/players/jr-morris-1.html,68,,,,Seton Hall University,2002
Rick Billings,https://www.sports-reference.com/cbb/players/rick-billings-1.html,69,,,,Oakland University,2002
Chadd Moore,https://www.sports-reference.com/cbb/players/chadd-moore-1.html,70,,,,University of Cincinnati,2002
Francisco Garcia,/players/g/garcifr01.html,71,2005,1,23,University of Louisville,2002
Jeremy Hunt,https://www.sports-reference.com/cbb/players/jeremy-hunt-1.html,72,,,,University of Memphis,2002
Matt Haryasz,https://www.sports-reference.com/cbb/players/matt-haryasz-1.html,73,,,,Stanford University,2002
Adam Haluska,https://www.sports-reference.com/cbb/players/adam-haluska-1.html,74,,,,University of Iowa,2002
Chris Quinn,/players/q/quinnch01.html,75,,,,University of Notre Dame,2002
Aliou Kane,https://www.sports-reference.com/cbb/players/aliou-kane-1.html,75,,,,Texas Christian University,2002
Yusuf Baker,https://www.sports-reference.com/cbb/players/yusuf-baker-1.html,75,,,,University of South Florida,2002
James Augustine,/players/a/augusja01.html,78,2006,2,41,University of Illinois at Urbana-Champaign,2002
Chuck Davis,https://www.sports-reference.com/cbb/players/chuck-davis-1.html,79,,,,University of Alabama,2002
Greg Brown,https://www.sports-reference.com/cbb/players/greg-brown-2.html,80,,,,Missouri State University,2002
Marcus White,https://www.sports-reference.com/cbb/players/marcus-white-1.html,81,,,,Purdue University,2002
Trent Strickland,https://www.sports-reference.com/cbb/players/trent-strickland-1.html,82,,,,Wake Forest University,2002
Vincent Grier,https://www.sports-reference.com/cbb/players/vincent-grier-1.html,83,,,,University of Minnesota,2002
Cameron Bennerman,https://www.sports-reference.com/cbb/players/cameron-bennerman-1.html,84,,,,North Carolina State University,2002
Almamy Thiero,https://www.sports-reference.com/cbb/players/almamy-thiero-1.html,84,,,,Duquesne University,2002
Aaron Spears,https://www.sports-reference.com/cbb/players/aaron-spears-1.html,86,,,,St. John's University,2002
C.J. Watson,/players/w/watsocj01.html,86,,,,University of Tennessee,2002
Josh Rhodes,,88,,,,,2002
Marquise Kately,https://www.sports-reference.com/cbb/players/marquise-kately-1.html,89,,,,Morgan State University,2002
