name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Harrison Barnes,/players/b/barneha02.html,1,2012,1,7,University of North Carolina,2010
Kyrie Irving,/players/i/irvinky01.html,2,2011,1,1,Duke University,2010
Jared Sullinger,/players/s/sullija01.html,2,2012,1,21,Ohio State University,2010
Brandon Knight,/players/k/knighbr03.html,4,2011,1,8,University of Kentucky,2010
Tobias Harris,/players/h/harrito02.html,5,2011,1,19,University of Tennessee,2010
Josh Selby,/players/s/selbyjo01.html,6,2011,2,49,University of Kansas,2010
Enes Kanter,/players/k/kanteen01.html,7,2011,1,3,,2010
Perry Jones,/players/j/jonespe01.html,8,2012,1,28,Baylor University,2010
Tristan Thompson,/players/t/thomptr01.html,9,2011,1,4,University of Texas at Austin,2010
Will Barton,/players/b/bartowi01.html,10,2012,2,40,University of Memphis,2010
Terrence Jones,/players/j/joneste01.html,11,2012,1,18,University of Kentucky,2010
C.J. Leslie,/players/l/leslicj01.html,12,,,,North Carolina State University,2010
Cory Joseph,/players/j/josepco01.html,13,2011,1,29,University of Texas at Austin,2010
Fab Melo,/players/m/melofa01.html,14,2012,1,22,Syracuse University,2010
Reggie Bullock,/players/b/bullore01.html,15,2013,1,25,University of North Carolina,2010
Joe Jackson,https://www.sports-reference.com/cbb/players/joe-jackson-1.html,16,,,,University of Memphis,2010
Deshaun Thomas,/players/t/thomade01.html,17,2013,2,58,Ohio State University,2010
Joshua Smith,/players/s/smithjo04.html,18,,,,Georgetown University,2010
Patric Young,/players/y/youngpa01.html,19,,,,University of Florida,2010
Tony Mitchell,/players/m/mitchto02.html,20,2013,2,37,University of North Texas,2010
Jelan Kendrick,https://www.sports-reference.com/cbb/players/jelan-kendrick-1.html,21,,,,"University of Nevada, Las Vegas",2010
Ryan Harrow,https://www.sports-reference.com/cbb/players/ryan-harrow-1.html,22,,,,Georgia State University,2010
Ray McCallum,/players/m/mccalra01.html,22,2013,2,36,University of Detroit Mercy,2010
Jereme Richmond,https://www.sports-reference.com/cbb/players/jereme-richmond-1.html,24,,,,University of Illinois at Urbana-Champaign,2010
Kendall Marshall,/players/m/marshke01.html,25,2012,1,13,University of North Carolina,2010
Doron Lamb,/players/l/lambdo01.html,26,2012,2,42,University of Kentucky,2010
Adreian Payne,/players/p/paynead01.html,27,2014,1,15,Michigan State University,2010
Roscoe Smith,/players/s/smithro02.html,28,,,,"University of Nevada, Las Vegas",2010
Trey Zeigler,https://www.sports-reference.com/cbb/players/trey-zeigler-1.html,29,,,,Texas Christian University,2010
Meyers Leonard,/players/l/leoname01.html,29,2012,1,11,University of Illinois at Urbana-Champaign,2010
Dion Waiters,/players/w/waitedi01.html,31,2012,1,4,Syracuse University,2010
Josh Hairston,https://www.sports-reference.com/cbb/players/josh-hairston-1.html,32,,,,Duke University,2010
Terrence Ross,/players/r/rosste01.html,33,2012,1,8,University of Washington,2010
Keith Appling,/players/a/applike01.html,34,,,,Michigan State University,2010
Ian Miller,https://www.sports-reference.com/cbb/players/ian-miller-1.html,35,,,,Florida State University,2010
Cameron Clark,https://www.sports-reference.com/cbb/players/cameron-clark-1.html,36,,,,University of Oklahoma,2010
Justin Coleman,https://www.sports-reference.com/cbb/players/justin-coleman-1.html,37,,,,Marshall University,2010
Dwight Powell,/players/p/poweldw01.html,38,2014,2,45,Stanford University,2010
Tyler Lamb,https://www.sports-reference.com/cbb/players/tyler-lamb-1.html,39,,,,"University of California, Los Angeles",2010
Jordan McRae,/players/m/mcraejo01.html,40,2014,2,58,University of Tennessee,2010
Phil Pressey,/players/p/pressph01.html,41,,,,University of Missouri,2010
Nate Lubick,https://www.sports-reference.com/cbb/players/nate-lubick-1.html,42,,,,Georgetown University,2010
Okaro White,/players/w/whiteok01.html,43,,,,Florida State University,2010
Dominique Ferguson,https://www.sports-reference.com/cbb/players/dominique-ferguson-1.html,44,,,,Florida International University,2010
Luke Cothron,,45,,,,,2010
Jayvaughn Pinkston,https://www.sports-reference.com/cbb/players/jayvaughn-pinkston-1.html,46,,,,Villanova University,2010
K.T. Harrell,https://www.sports-reference.com/cbb/players/kt-harrell-1.html,47,,,,Auburn University,2010
Vander Blue,/players/b/blueva01.html,48,,,,Marquette University,2010
Travis McKie,https://www.sports-reference.com/cbb/players/travis-mckie-1.html,49,,,,Wake Forest University,2010
Stacey Poole,https://www.sports-reference.com/cbb/players/stacey-poole-1.html,50,,,,Georgia Institute of Technology,2010
JT Terrell,https://www.sports-reference.com/cbb/players/jt-terrell-1.html,51,,,,University of Southern California,2010
Casey Prather,/players/p/prathca01.html,52,,,,University of Florida,2010
Keala King,https://www.sports-reference.com/cbb/players/keala-king-1.html,53,,,,"California State University, Long Beach",2010
Anthony Brown,/players/b/brownan02.html,54,2015,2,34,Stanford University,2010
Mychal Parker,https://www.sports-reference.com/cbb/players/mychal-parker-1.html,55,,,,University of Maryland,2010
Lorenzo Brown,/players/b/brownlo01.html,56,2013,2,52,North Carolina State University,2010
Gary Franklin,https://www.sports-reference.com/cbb/players/gary-franklin-1.html,57,,,,Baylor University,2010
James Johnson,https://www.sports-reference.com/cbb/players/james-johnson-5.html,58,,,,San Diego State University,2010
Tarik Black,/players/b/blackta01.html,59,,,,University of Kansas,2010
Trevor Releford,https://www.sports-reference.com/cbb/players/trevor-releford-1.html,60,,,,University of Alabama,2010
Damontre Harris,https://www.sports-reference.com/cbb/players/damontre-harris-1.html,61,,,,University of South Carolina,2010
Rion Brown,https://www.sports-reference.com/cbb/players/rion-brown-1.html,61,,,,University of Miami,2010
Jordan Sibert,/players/s/siberjo01.html,63,,,,University of Dayton,2010
Gerard Coleman,https://www.sports-reference.com/cbb/players/gerard-coleman-1.html,64,,,,Gonzaga University,2010
James Bell,https://www.sports-reference.com/cbb/players/james-bell-1.html,65,,,,Villanova University,2010
Carson Desrosiers,https://www.sports-reference.com/cbb/players/carson-desrosiers-1.html,66,,,,Providence College,2010
J.J. Moore,https://www.sports-reference.com/cbb/players/jj-moore-1.html,67,,,,Rutgers University,2010
Noah Cottrill,,68,,,,,2010
Gorgui Dieng,/players/d/dienggo01.html,69,2013,1,21,University of Louisville,2010
Daniel Bejarano,https://www.sports-reference.com/cbb/players/daniel-bejarano-1.html,70,,,,Colorado State University,2010
Allen Crabbe,/players/c/crabbal01.html,71,2013,2,31,University of California,2010
Mike Cobbins,/players/c/cobbimi01.html,72,,,,Oklahoma State University,2010
Bruce Ellington,https://www.sports-reference.com/cbb/players/bruce-ellington-1.html,73,,,,University of South Carolina,2010
Jamail Jones,https://www.sports-reference.com/cbb/players/jamail-jones-1.html,74,,,,,2010
Shabazz Napier,/players/n/napiesh01.html,75,2014,1,24,University of Connecticut,2010
Crandall Head,https://www.sports-reference.com/cbb/players/crandall-head-1.html,76,,,,Southern Methodist University,2010
Jason Morris,https://www.sports-reference.com/cbb/players/jason-morris-1.html,77,,,,Georgia Institute of Technology,2010
Jeremy Lamb,/players/l/lambje01.html,78,2012,1,12,University of Connecticut,2010
Juwan Staten,/players/s/stateju01.html,79,,,,West Virginia University,2010
Evan Smotrycz,https://www.sports-reference.com/cbb/players/evan-smotrycz-1.html,80,,,,University of Maryland,2010
Rod Odom,https://www.sports-reference.com/cbb/players/rod-odom-1.html,81,,,,Vanderbilt University,2010
Bryce Dejean-Jones,/players/d/dejeabr01.html,82,,,,Iowa State University,2010
Kadeem Jack,/players/j/jackka01.html,83,,,,Rutgers University,2010
Terone Johnson,https://www.sports-reference.com/cbb/players/terone-johnson-1.html,84,,,,Purdue University,2010
Matt Derenbecker,https://www.sports-reference.com/cbb/players/matt-derenbecker-1.html,85,,,,University of Dayton,2010
Trae Golden,https://www.sports-reference.com/cbb/players/trae-golden-1.html,86,,,,Georgia Institute of Technology,2010
Justin Martin,https://www.sports-reference.com/cbb/players/justin-martin-1.html,87,,,,Xavier University,2010
Cody Larson,https://www.sports-reference.com/cbb/players/cody-larson-1.html,88,,,,University of Florida,2010
Jarell Eddie,/players/e/eddieja01.html,89,,,,Virginia Polytechnic Institute and State University,2010
Dwayne Polee,https://www.sports-reference.com/cbb/players/dwayne-polee-2.html,90,,,,San Diego State University,2010
Keith Davis,https://www.sports-reference.com/cbb/players/keith-davis-1.html,90,,,,Texas A&M University,2010
Russell Byrd,https://www.sports-reference.com/cbb/players/russell-byrd-1.html,92,,,,Michigan State University,2010
Melvin Tabb,https://www.sports-reference.com/cbb/players/melvin-tabb-1.html,93,,,,Kent State University,2010
Markel Starks,https://www.sports-reference.com/cbb/players/markel-starks-1.html,94,,,,Georgetown University,2010
Evan Anderson,https://www.sports-reference.com/cbb/players/evan-anderson-1.html,95,,,,University of Wisconsin,2010
C.J. Fair,/players/f/faircj02.html,96,,,,Syracuse University,2010
Demarco Cox,https://www.sports-reference.com/cbb/players/demarco-cox-1.html,97,,,,University of Mississippi,2010
C.J. Aiken,/players/a/aikencj01.html,98,,,,Saint Joseph's University,2010
Alex Kirk,/players/k/kirkal01.html,98,,,,University of New Mexico,2010
Ralston Turner,https://www.sports-reference.com/cbb/players/ralston-turner-1.html,100,,,,North Carolina State University,2010
