name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
O.J. Mayo,/players/m/mayooj01.html,1,2008,1,3,University of Southern California,2007
Kevin Love,/players/l/loveke01.html,2,2008,1,5,"University of California, Los Angeles",2007
Eric Gordon,/players/g/gordoer01.html,3,2008,1,7,Indiana University,2007
Michael Beasley,/players/b/beaslmi01.html,4,2008,1,2,Kansas State University,2007
Derrick Rose,/players/r/rosede01.html,5,2008,1,1,University of Memphis,2007
Kyle Singler,/players/s/singlky01.html,6,2011,2,33,Duke University,2007
Jerryd Bayless,/players/b/bayleje01.html,7,2008,1,11,University of Arizona,2007
Donte Greene,/players/g/greendo01.html,8,2008,1,28,Syracuse University,2007
J.J. Hickson,/players/h/hicksjj01.html,9,2008,1,19,North Carolina State University,2007
Patrick Patterson,/players/p/pattepa01.html,10,2010,1,14,University of Kentucky,2007
Nick Calathes,/players/c/calatni01.html,11,2009,2,45,University of Florida,2007
Kosta Koufos,/players/k/koufoko01.html,12,2008,1,23,Ohio State University,2007
DeAndre Jordan,/players/j/jordade01.html,13,2008,2,35,Texas A&M University,2007
Austin Freeman,https://www.sports-reference.com/cbb/players/austin-freeman-1.html,14,,,,Georgetown University,2007
Anthony Randolph,/players/r/randoan01.html,15,2008,1,14,Louisiana State University,2007
Blake Griffin,/players/g/griffbl01.html,16,2009,1,1,University of Oklahoma,2007
James Harden,/players/h/hardeja01.html,17,2009,1,3,Arizona State University,2007
Nolan Smith,/players/s/smithno01.html,18,2011,1,21,Duke University,2007
Gani Lawal,/players/l/lawalga01.html,19,2010,2,46,Georgia Institute of Technology,2007
Jonny Flynn,/players/f/flynnjo01.html,20,2009,1,6,Syracuse University,2007
Corey Fisher,https://www.sports-reference.com/cbb/players/corey-fisher-1.html,21,,,,Villanova University,2007
Cole Aldrich,/players/a/aldrico01.html,22,2010,1,11,University of Kansas,2007
E'Twaun Moore,/players/m/mooreet01.html,23,2011,2,55,Purdue University,2007
Solomon Alabi,/players/a/alabiso01.html,24,2010,2,50,Florida State University,2007
Jamelle Horne,https://www.sports-reference.com/cbb/players/jamelle-horne-1.html,25,,,,University of Arizona,2007
Corey Stokes,https://www.sports-reference.com/cbb/players/corey-stokes-2.html,26,,,,Villanova University,2007
Taylor King,https://www.sports-reference.com/cbb/players/taylor-king-1.html,27,,,,Villanova University,2007
