name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Josh McRoberts,/players/m/mcrobjo01.html,1,2007,2,37,Duke University,2005
Monta Ellis,/players/e/ellismo01.html,2,2005,2,40,,2005
Martell Webster,/players/w/webstma02.html,3,2005,1,6,,2005
Tyler Hansbrough,/players/h/hansbty01.html,4,2009,1,13,University of North Carolina,2005
Louis Williams,/players/w/willilo02.html,5,2005,2,45,,2005
Julian Wright,/players/w/wrighju01.html,6,2007,1,13,University of Kansas,2005
Richard Hendrix,https://www.sports-reference.com/cbb/players/richard-hendrix-1.html,7,,,,University of Alabama,2005
Tasmin Mitchell,https://www.sports-reference.com/cbb/players/tasmin-mitchell-1.html,8,,,,Louisiana State University,2005
Mario Chalmers,/players/c/chalmma01.html,8,2008,2,34,University of Kansas,2005
Andrew Bynum,/players/b/bynuman01.html,10,2005,1,10,,2005
Keith Brumbaugh,,11,,,,,2005
C.J. Miles,/players/m/milescj01.html,12,2005,2,34,,2005
Greg Paulus,https://www.sports-reference.com/cbb/players/greg-paulus-1.html,13,,,,Duke University,2005
Amir Johnson,/players/j/johnsam01.html,14,2005,2,56,,2005
Danny Green,/players/g/greenda02.html,15,2009,2,46,University of North Carolina,2005
Gerald Green,/players/g/greenge01.html,16,2005,1,18,,2005
Jon Brockman,/players/b/brockjo01.html,17,2009,2,38,University of Washington,2005
Andray Blatche,/players/b/blatcan01.html,18,2005,2,49,,2005
Brandon Costner,https://www.sports-reference.com/cbb/players/brandon-costner-1.html,19,,,,North Carolina State University,2005
Byron Eaton,https://www.sports-reference.com/cbb/players/byron-eaton-1.html,20,,,,Oklahoma State University,2005
Micah Downs,https://www.sports-reference.com/cbb/players/micah-downs-1.html,21,,,,Gonzaga University,2005
Eric Devendorf,https://www.sports-reference.com/cbb/players/eric-devendorf-1.html,22,,,,Syracuse University,2005
Brandon Rush,/players/r/rushbr01.html,23,2008,1,13,University of Kansas,2005
Korvotney Barber,https://www.sports-reference.com/cbb/players/korvotney-barber-1.html,24,,,,Auburn University,2005
Lewis Clinch,https://www.sports-reference.com/cbb/players/lewis-clinch-1.html,25,,,,Georgia Institute of Technology,2005
Jamont Gordon,https://www.sports-reference.com/cbb/players/jamont-gordon-1.html,26,,,,Mississippi State University,2005
Shawne Williams,/players/w/willish03.html,27,2006,1,17,University of Memphis,2005
Joe Krabbenhoft,https://www.sports-reference.com/cbb/players/joe-krabbenhoft-1.html,28,,,,University of Wisconsin,2005
Marcus Ginyard,https://www.sports-reference.com/cbb/players/marcus-ginyard-1.html,29,,,,University of North Carolina,2005
Marcus Williams,/players/w/willima04.html,30,2007,2,33,University of Arizona,2005
Bobby Frasor,https://www.sports-reference.com/cbb/players/bobby-frasor-1.html,31,,,,University of North Carolina,2005
J.P. Prince,https://www.sports-reference.com/cbb/players/jp-prince-1.html,32,,,,University of Tennessee,2005
Magnum Rolle,https://www.sports-reference.com/cbb/players/magnum-rolle-1.html,33,,,,Louisiana Tech University,2005
Luke Zeller,/players/z/zellelu01.html,34,,,,University of Notre Dame,2005
Courtney Fells,https://www.sports-reference.com/cbb/players/courtney-fells-1.html,35,,,,North Carolina State University,2005
Theo Davis,https://www.sports-reference.com/cbb/players/theo-davis-1.html,36,,,,,2005
Dominic James,https://www.sports-reference.com/cbb/players/dominic-james-1.html,36,,,,Marquette University,2005
Mike Mercer,https://www.sports-reference.com/cbb/players/mike-mercer-1.html,38,,,,University of South Florida,2005
Fendi Onobun,https://www.sports-reference.com/cbb/players/fendi-onobun-1.html,39,,,,University of Arizona,2005
Eric Boateng,https://www.sports-reference.com/cbb/players/eric-boateng-1.html,39,,,,Arizona State University,2005
Chris Douglas-Roberts,/players/d/douglch01.html,41,2008,2,40,University of Memphis,2005
Uche Echefu,https://www.sports-reference.com/cbb/players/uche-echefu-1.html,42,,,,Florida State University,2005
Tiki Mayben,https://www.sports-reference.com/cbb/players/tiki-mayben-1.html,43,,,,University of Massachusetts Amherst,2005
Terrence Williams,/players/w/willite01.html,44,2009,1,11,University of Louisville,2005
Roderick Flemings,https://www.sports-reference.com/cbb/players/roderick-flemings-1.html,45,,,,University of Hawaii,2005
Ryan Wright,https://www.sports-reference.com/cbb/players/ryan-wright-1.html,46,,,,University of Oklahoma,2005
Tyler Smith,https://www.sports-reference.com/cbb/players/tyler-smith-3.html,47,,,,University of Tennessee,2005
Vernon Goodridge,https://www.sports-reference.com/cbb/players/vernon-goodridge-1.html,48,,,,La Salle University,2005
Davon Jefferson,https://www.sports-reference.com/cbb/players/davon-jefferson-1.html,49,,,,University of Southern California,2005
Devan Downey,https://www.sports-reference.com/cbb/players/devan-downey-1.html,50,,,,University of South Carolina,2005
Marcus Johnson,https://www.sports-reference.com/cbb/players/marcus-johnson-2.html,51,,,,University of Southern California,2005
Alonzo Gee,/players/g/geeal01.html,52,,,,University of Alabama,2005
Martynas Pocius,https://www.sports-reference.com/cbb/players/martynas-pocius-1.html,53,,,,Duke University,2005
Jeff Adrien,/players/a/adrieje01.html,53,,,,University of Connecticut,2005
Kevin Rogers,https://www.sports-reference.com/cbb/players/kevin-rogers-1.html,55,,,,Baylor University,2005
Wilson Chandler,/players/c/chandwi01.html,56,2007,1,23,DePaul University,2005
Jerel McNeal,/players/m/mcneaje01.html,57,,,,Marquette University,2005
Shawn Taggart,https://www.sports-reference.com/cbb/players/shawn-taggart-1.html,58,,,,University of Memphis,2005
Sam Young,/players/y/youngsa01.html,58,2009,2,36,University of Pittsburgh,2005
Jamal Boykin,https://www.sports-reference.com/cbb/players/jamal-boykin-1.html,60,,,,University of California,2005
Wesley Matthews,/players/m/matthwe02.html,61,,,,Marquette University,2005
Bryan Harvey,https://www.sports-reference.com/cbb/players/bryan-harvey-1.html,62,,,,"California State University, Fresno",2005
Derwin Kitchen,https://www.sports-reference.com/cbb/players/derwin-kitchen-1.html,63,,,,Florida State University,2005
Reginald Delk,https://www.sports-reference.com/cbb/players/reginald-delk-1.html,64,,,,University of Louisville,2005
Wink Adams,https://www.sports-reference.com/cbb/players/wink-adams-1.html,65,,,,"University of Nevada, Las Vegas",2005
Antonio Anderson,/players/a/anderan02.html,66,,,,University of Memphis,2005
Terrel Harris,/players/h/harrite01.html,66,,,,Oklahoma State University,2005
Leo Lyons,https://www.sports-reference.com/cbb/players/leo-lyons-1.html,66,,,,University of Missouri,2005
Dior Lowhorn,https://www.sports-reference.com/cbb/players/dior-lowhorn-1.html,69,,,,University of San Francisco,2005
