name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Eddy Curry,/players/c/curryed01.html,1,2001,1,4,,2001
Kelvin Torbert,https://www.sports-reference.com/cbb/players/kelvin-torbert-1.html,2,,,,Michigan State University,2001
Dajuan Wagner,/players/w/wagneda02.html,3,2002,1,6,University of Memphis,2001
Tyson Chandler,/players/c/chandty01.html,4,2001,1,2,,2001
Ousmane Cisse,,5,,,,,2001
Kwame Brown,/players/b/brownkw01.html,6,2001,1,1,,2001
Julius Hodge,/players/h/hodgeju01.html,7,2005,1,20,North Carolina State University,2001
DeSagana Diop,/players/d/diopde01.html,8,2001,1,8,,2001
Rick Rickert,https://www.sports-reference.com/cbb/players/rick-rickert-1.html,9,,,,University of Minnesota,2001
David Lee,/players/l/leeda02.html,10,2005,1,30,University of Florida,2001
Jawad Williams,/players/w/willija04.html,11,,,,University of North Carolina,2001
Carlos Hurt,https://www.sports-reference.com/cbb/players/carlos-hurt-1.html,12,,,,University of Louisville,2001
Jonathan Hargett,https://www.sports-reference.com/cbb/players/jonathan-hargett-1.html,13,,,,West Virginia University,2001
David Harrison,/players/h/harrida01.html,13,2004,1,29,University of Colorado,2001
Aaron Miles,/players/m/milesaa01.html,15,,,,University of Kansas,2001
Mo Williams,/players/w/willima01.html,16,2003,2,47,University of Alabama,2001
T.J. Ford,/players/f/fordtj01.html,17,2003,1,8,University of Texas at Austin,2001
Josh Childress,/players/c/childjo01.html,18,2004,1,6,Stanford University,2001
Cedric Bozeman,/players/b/bozemce01.html,19,,,,"University of California, Los Angeles",2001
Wayne Simien,/players/s/simiewa01.html,20,2005,1,29,University of Kansas,2001
Rashaad Carruth,https://www.sports-reference.com/cbb/players/rashaad-carruth-1.html,21,,,,University of Southern Mississippi,2001
James White,/players/w/whiteja02.html,22,2006,2,31,University of Cincinnati,2001
Jamal Sampson,/players/s/sampsja01.html,23,2002,2,47,University of California,2001
John Allen,https://www.sports-reference.com/cbb/players/john-allen-2.html,24,,,,Seton Hall University,2001
Jackie Manuel,https://www.sports-reference.com/cbb/players/jackie-manuel-1.html,25,,,,University of North Carolina,2001
JaQuan Hart,https://www.sports-reference.com/cbb/players/jaquan-hart-1.html,26,,,,Eastern Michigan University,2001
Anthony Richardson,https://www.sports-reference.com/cbb/players/anthony-richardson-1.html,26,,,,Florida State University,2001
Dijon Thompson,/players/t/thompdi01.html,28,2005,2,54,"University of California, Los Angeles",2001
Daniel Ewing,/players/e/ewingda01.html,29,2005,2,32,Duke University,2001
Alan Anderson,/players/a/anderal01.html,30,,,,Michigan State University,2001
Dennis Latimore,https://www.sports-reference.com/cbb/players/dennis-latimore-1.html,31,,,,University of Notre Dame,2001
Pierre Pierce,https://www.sports-reference.com/cbb/players/pierre-pierce-1.html,32,,,,University of Iowa,2001
Jason Maxiell,/players/m/maxieja01.html,32,2005,1,26,University of Cincinnati,2001
Chris Thomas,https://www.sports-reference.com/cbb/players/chris-thomas-4.html,34,,,,University of Notre Dame,2001
Robert Whaley,/players/w/whalero01.html,34,2005,2,51,Walsh University,2001
