name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Josh Jackson,/players/j/jacksjo02.html,1,2017,1,4,University of Kansas,2016
Harry Giles,/players/g/gilesha01.html,2,2017,1,20,Duke University,2016
Lonzo Ball,/players/b/balllo01.html,3,2017,1,2,"University of California, Los Angeles",2016
Jayson Tatum,/players/t/tatumja01.html,3,2017,1,3,Duke University,2016
Markelle Fultz,/players/f/fultzma01.html,5,2017,1,1,University of Washington,2016
De'Aaron Fox,/players/f/foxde01.html,6,2017,1,5,University of Kentucky,2016
Jonathan Isaac,/players/i/isaacjo01.html,7,2017,1,6,Florida State University,2016
Bam Adebayo,/players/a/adebaba01.html,8,2017,1,14,University of Kentucky,2016
Malik Monk,/players/m/monkma01.html,9,2017,1,11,University of Kentucky,2016
Miles Bridges,/players/b/bridgmi02.html,10,2018,1,12,Michigan State University,2016
Marques Bolden,https://www.sports-reference.com/cbb/players/marques-bolden-1.html,11,,,,Duke University,2016
Terrance Ferguson,/players/f/fergute01.html,12,2017,1,21,,2016
Wenyen Gabriel,/players/g/gabriwe01.html,13,,,,University of Kentucky,2016
Frank Jackson,/players/j/jacksfr01.html,14,2017,2,31,Duke University,2016
Jarrett Allen,/players/a/allenja01.html,15,2017,1,22,University of Texas at Austin,2016
TJ Leaf,/players/l/leaftj01.html,16,2017,1,18,"University of California, Los Angeles",2016
Omari Spellman,/players/s/spellom01.html,17,2018,1,30,Villanova University,2016
Mustapha Heron,https://www.sports-reference.com/cbb/players/mustapha-heron-1.html,18,,,,Auburn University,2016
Tony Bradley,/players/b/bradlto01.html,19,2017,1,28,University of North Carolina,2016
Joshua Langford,https://www.sports-reference.com/cbb/players/joshua-langford-1.html,20,,,,Michigan State University,2016
Rawle Alkins,/players/a/alkinra01.html,21,,,,University of Arizona,2016
Sacha Killeya-Jones,https://www.sports-reference.com/cbb/players/sacha-killeya-jones-1.html,21,,,,University of Kentucky,2016
Andrew Jones,https://www.sports-reference.com/cbb/players/andrew-jones-3.html,23,,,,University of Texas at Austin,2016
Kobi Simmons,/players/s/simmoko01.html,24,,,,University of Arizona,2016
