name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year
Ben Simmons,/players/s/simmobe01.html,1,2016,1,1,Louisiana State University,2015
Skal Labissiere,/players/l/labissk01.html,2,2016,1,28,University of Kentucky,2015
Jaylen Brown,/players/b/brownja02.html,3,2016,1,3,University of California,2015
Brandon Ingram,/players/i/ingrabr01.html,4,2016,1,2,Duke University,2015
Ivan Rabb,/players/r/rabbiv01.html,5,2017,2,35,University of California,2015
Cheick Diallo,/players/d/diallch01.html,6,2016,2,33,University of Kansas,2015
Diamond Stone,/players/s/stonedi01.html,7,2016,2,40,University of Maryland,2015
Malik Newman,/players/n/newmama01.html,8,,,,Mississippi State University,2015
Henry Ellenson,/players/e/ellenhe01.html,9,2016,1,18,Marquette University,2015
Stephen Zimmerman,/players/z/zimmest01.html,10,2016,2,41,"University of Nevada, Las Vegas",2015
Isaiah Briscoe,/players/b/briscis01.html,11,,,,University of Kentucky,2015
Allonzo Trier,/players/t/trieral01.html,12,,,,University of Arizona,2015
Derryck Thornton,https://www.sports-reference.com/cbb/players/derryck-thornton-1.html,13,,,,Duke University,2015
Chase Jeter,https://www.sports-reference.com/cbb/players/chase-jeter-1.html,14,,,,Duke University,2015
Antonio Blakeney,/players/b/blakean01.html,15,,,,Louisiana State University,2015
Caleb Swanigan,/players/s/swanica01.html,16,2017,1,26,Purdue University,2015
Dwayne Bacon,/players/b/bacondw01.html,16,2017,2,40,Florida State University,2015
Ray Smith,,18,,,,University of Arizona,2015
Jalen Brunson,/players/b/brunsja01.html,19,2018,2,33,Villanova University,2015
Jalen Adams,https://www.sports-reference.com/cbb/players/jalen-adams-2.html,20,,,,University of Connecticut,2015
Luke Kennard,/players/k/kennalu01.html,21,2017,1,12,Duke University,2015
Carlton Bragg,https://www.sports-reference.com/cbb/players/carlton-braggjr-1.html,22,,,,University of Kansas,2015
Tyler Dorsey,/players/d/dorsety01.html,23,2017,2,41,University of Oregon,2015
Perry Dozier,/players/d/doziepj01.html,24,,,,University of South Carolina,2015
Thomas Bryant,/players/b/bryanth01.html,25,2017,2,42,Indiana University,2015
Deyonta Davis,/players/d/davisde01.html,26,2016,2,31,Michigan State University,2015
Donovan Mitchell,/players/m/mitchdo01.html,27,2017,1,13,University of Louisville,2015
Jawun Evans,/players/e/evansja01.html,27,2017,2,39,Oklahoma State University,2015
Malachi Richardson,/players/r/richama01.html,29,2016,1,22,Syracuse University,2015
Justin Simon,https://www.sports-reference.com/cbb/players/justin-simon-2.html,30,,,,University of Arizona,2015
D.J. Hogg,/players/h/hoggdj01.html,31,,,,Texas A&M University,2015
Dedric Lawson,https://www.sports-reference.com/cbb/players/dedric-lawson-1.html,32,,,,University of Memphis,2015
Tyler Davis,/players/d/davisty01.html,33,,,,Texas A&M University,2015
Deng Adel,/players/a/adelde01.html,34,,,,University of Louisville,2015
Chimezie Metu,/players/m/metuch01.html,35,2018,2,49,University of Southern California,2015
Prince Ali,https://www.sports-reference.com/cbb/players/prince-ali-1.html,36,,,,"University of California, Los Angeles",2015
Malik Beasley,/players/b/beaslma01.html,37,2016,1,19,Florida State University,2015
