bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
paultbi01,1970-71,22,NYA,ABA,83,33.2,.524,.000,.525,.524,.747,11.3,1.9,,,14.7,17.2,7.0,.122,,,
paultbi01,1971-72,23,NYA,ABA,83,34.0,.488,.000,.489,.488,.692,12.5,1.5,,,14.5,15.3,5.0,.085,,,
paultbi01,1972-73,24,NYA,ABA,81,34.6,.518,.000,.519,.518,.709,12.5,2.3,,2.6,16.7,21.7,5.6,.095,,,
paultbi01,1973-74,25,NYA,ABA,77,33.7,.494,.000,.494,.494,.721,10.2,2.2,0.8,1.9,16.4,18.2,8.9,.165,2.1,2.7,
paultbi01,1974-75,26,NYA,ABA,80,35.3,.485,.000,.487,.485,.748,9.7,2.2,0.7,1.7,15.8,16.3,9.0,.152,1.3,2.3,
paultbi01,1975-76,27,SAA,ABA,83,35.6,.504,.000,.504,.504,.735,10.4,4.1,0.7,3.0,16.5,18.6,8.7,.141,3.8,4.3,
paultbi01,1976-77,28,SAS,NBA,82,32.9,.473,,.473,.473,.744,8.4,2.7,0.7,2.1,15.6,15.8,5.3,.095,0.2,1.5,
paultbi01,1977-78,29,SAS,NBA,80,31.0,.529,,.529,.529,.752,8.4,2.7,0.5,2.4,15.8,19.8,8.6,.166,2.9,3.1,
paultbi01,1978-79,30,SAS,NBA,79,26.9,.526,,.526,.526,.588,7.9,2.3,0.4,1.6,11.5,15.5,5.1,.114,1.0,1.6,
paultbi01,1979-80,31,"SAS,HOU",NBA,84,26.1,.486,.000,.487,.486,.599,7.0,2.2,0.8,1.0,9.1,13.9,4.0,.088,0.8,1.6,
paultbi01,1980-81,32,HOU,NBA,81,20.5,.507,.000,.510,.507,.490,4.8,1.3,0.3,0.9,7.4,12.9,2.7,.077,-0.9,0.5,
paultbi01,1981-82,33,HOU,NBA,65,12.4,.394,,.394,.394,.523,2.8,0.6,0.2,0.3,3.3,7.7,0.1,.007,-5.0,-0.6,
paultbi01,1982-83,34,"HOU,SAS",NBA,64,12.8,.445,,.445,.445,.458,3.1,1.0,0.3,0.3,3.6,9.5,0.3,.020,-3.8,-0.4,
paultbi01,1983-84,35,ATL,NBA,40,12.2,.409,,.409,.409,.515,2.8,0.5,0.2,0.2,2.2,6.6,0.3,.027,-4.2,-0.3,
paultbi01,1984-85,36,UTA,NBA,62,6.0,.368,,.368,.368,.643,1.5,0.3,0.1,0.2,1.3,5.0,0.0,-0.006,-6.6,-0.4,
