bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS
cartere01,1980-81,23,NYK,NBA,60,8.9,.330,.739,1.2,1.3,0.4,0.0,2.8,8.8,0.1,.010,-4.7,-0.4,,"Long Island Lutheran in Brookville, New York"
cartere01,1981-82,24,NYK,NBA,75,12.3,.425,.800,1.3,1.7,0.5,0.1,4.0,9.4,0.3,.016,-4.5,-0.6,,"Long Island Lutheran in Brookville, New York"
