bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
scottch01,1970-71,22,VIR,ABA,84,37.9,.463,.246,.471,.467,.746,5.2,5.6,,,27.1,18.8,7.2,.109,,,All-ABA (1st)
scottch01,1971-72,23,"VIR,PHO",TOT,79,41.0,.448,.264,.457,.454,.803,5.0,4.7,,,33.4,20.8,7.4,.110,,,All-ABA (2nd)
scottch01,1972-73,24,PHO,NBA,81,37.8,.446,,.446,.446,.784,4.2,6.1,,,25.3,19.0,6.5,.101,,,
scottch01,1973-74,25,PHO,NBA,52,38.5,.459,,.459,.459,.781,4.3,5.2,1.9,0.4,25.4,18.8,3.9,.093,1.8,1.9,
scottch01,1974-75,26,PHO,NBA,69,37.6,.441,,.441,.441,.781,4.0,4.5,1.6,0.3,24.3,17.7,4.7,.086,0.7,1.8,
scottch01,1975-76,27,BOS,NBA,82,35.5,.449,,.449,.449,.797,4.4,4.2,1.3,0.3,17.6,14.5,6.4,.106,0.9,2.1,
scottch01,1976-77,28,BOS,NBA,43,36.8,.444,,.444,.444,.746,4.4,4.6,1.4,0.3,18.2,14.1,2.5,.075,0.2,0.9,
scottch01,1977-78,29,"BOS,LAL",NBA,79,31.3,.438,,.438,.438,.746,3.2,4.8,1.4,0.2,13.5,12.3,2.4,.046,-1.8,0.1,
scottch01,1978-79,30,DEN,NBA,79,33.1,.460,,.460,.460,.749,2.7,5.4,1.0,0.4,12.0,9.8,1.9,.035,-3.0,-0.7,
scottch01,1979-80,31,DEN,NBA,69,27.0,.401,.182,.405,.403,.720,2.4,3.6,0.7,0.3,9.3,7.4,-1.4,-0.037,-5.9,-1.8,
