bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary,HS
ratlith01,1995-96,22,Detroit Pistons,NBA,75,17.4,.557,.708,4.0,0.2,0.2,1.5,4.5,14.0,3.8,.141,0.0,0.7,,714000,"Demopolis in Demopolis, Alabama"
ratlith01,1996-97,23,Detroit Pistons,NBA,76,17.0,.531,.698,3.4,0.2,0.4,1.5,5.8,15.9,3.9,.144,-0.2,0.6,,821000,"Demopolis in Demopolis, Alabama"
ratlith01,1997-98,24,Detroit Pistons,NBA,82,29.8,.513,.701,6.7,0.7,0.6,3.1,9.9,16.2,6.7,.132,2.2,2.6,,928080,"Demopolis in Demopolis, Alabama"
ratlith01,1997-98,24,Detroit Pistons,NBA,24,24.4,.514,.683,5.0,0.6,0.5,2.3,6.5,13.0,1.4,.111,1.1,0.5,,928080,"Demopolis in Demopolis, Alabama"
ratlith01,1997-98,24,Detroit Pistons,NBA,58,32.1,.512,.706,7.3,0.7,0.7,3.5,11.2,17.2,5.4,.139,2.6,2.2,,928080,"Demopolis in Demopolis, Alabama"
ratlith01,1998-99,25,Philadelphia 76ers,NBA,50,32.5,.470,.725,8.1,0.6,0.9,3.0,11.2,16.9,5.4,.159,1.9,1.6,,6000000,"Demopolis in Demopolis, Alabama"
ratlith01,1999-00,26,Philadelphia 76ers,NBA,57,31.5,.503,.771,7.6,0.6,0.6,3.0,11.9,16.7,5.6,.149,1.7,1.7,,7031250,"Demopolis in Demopolis, Alabama"
ratlith01,2000-01,27,Philadelphia 76ers,NBA,50,36.0,.499,.760,8.3,1.2,0.6,3.7,12.4,16.3,5.2,.138,3.3,2.4,,7800000,"Demopolis in Demopolis, Alabama"
ratlith01,2001-02,28,Atlanta Hawks,NBA,3,27.3,.500,.545,5.3,0.3,0.3,2.7,8.7,11.1,0.0,.012,-5.2,-0.1,,9667969,"Demopolis in Demopolis, Alabama"
ratlith01,2002-03,29,Atlanta Hawks,NBA,81,31.1,.464,.720,7.5,0.9,0.7,3.2,8.7,13.8,4.0,.077,0.0,1.2,,9375000,"Demopolis in Demopolis, Alabama"
ratlith01,2003-04,30,Atlanta Hawks,NBA,85,31.3,.485,.645,7.2,0.8,0.6,3.6,7.9,14.4,5.2,.094,1.4,2.3,,10156250,"Demopolis in Demopolis, Alabama"
ratlith01,2003-04,30,Atlanta Hawks,NBA,53,31.1,.458,.653,7.2,1.0,0.6,3.1,8.3,12.9,2.3,.066,-0.2,0.7,,10156250,"Demopolis in Demopolis, Alabama"
ratlith01,2003-04,30,Atlanta Hawks,NBA,32,31.8,.540,.629,7.3,0.6,0.8,4.4,7.3,16.8,3.0,.140,4.1,1.6,,10156250,"Demopolis in Demopolis, Alabama"
ratlith01,2004-05,31,Portland Trail Blazers,NBA,63,27.5,.447,.692,5.3,0.5,0.4,2.5,4.8,10.1,2.3,.063,-0.5,0.7,,10937500,"Demopolis in Demopolis, Alabama"
ratlith01,2005-06,32,Portland Trail Blazers,NBA,55,23.7,.571,.651,5.1,0.5,0.3,1.6,4.9,12.2,2.0,.074,-0.5,0.5,,11666666,"Demopolis in Demopolis, Alabama"
ratlith01,2006-07,33,Boston Celtics,NBA,2,22.0,.333,.750,3.5,0.0,0.5,1.5,2.5,6.7,0.1,.073,-4.4,0.0,,11666666,"Demopolis in Demopolis, Alabama"
ratlith01,2007-08,34,Minnesota Timberwolves,NBA,26,16.8,.482,.674,3.4,0.5,0.3,1.4,4.3,11.9,0.8,.091,-0.2,0.2,,11666666,"Demopolis in Demopolis, Alabama"
ratlith01,2007-08,34,Minnesota Timberwolves,NBA,10,21.4,.511,.680,3.9,0.7,0.3,1.9,6.3,12.3,0.3,.067,-1.1,0.1,,11666666,"Demopolis in Demopolis, Alabama"
ratlith01,2007-08,34,Minnesota Timberwolves,NBA,16,13.9,.450,.667,3.1,0.4,0.3,1.1,3.0,11.6,0.5,.115,0.6,0.1,,11666666,"Demopolis in Demopolis, Alabama"
ratlith01,2008-09,35,Philadelphia 76ers,NBA,46,12.6,.531,.600,2.8,0.2,0.4,1.0,1.9,11.2,1.4,.115,1.0,0.4,,1262275,"Demopolis in Demopolis, Alabama"
ratlith01,2009-10,36,Charlotte Bobcats,NBA,49,16.5,.461,.760,3.2,0.5,0.2,1.2,3.6,10.3,1.4,.084,-0.4,0.3,,1306455,"Demopolis in Demopolis, Alabama"
ratlith01,2009-10,36,Charlotte Bobcats,NBA,21,8.7,.444,.500,1.9,0.4,0.1,0.9,1.6,7.8,0.1,.019,-1.4,0.0,,1306455,"Demopolis in Demopolis, Alabama"
ratlith01,2009-10,36,Charlotte Bobcats,NBA,28,22.3,.466,.783,4.2,0.6,0.3,1.5,5.1,11.0,1.3,.104,0.0,0.3,,1306455,"Demopolis in Demopolis, Alabama"
ratlith01,2010-11,37,Los Angeles Lakers,NBA,10,7.1,.167,.000,1.3,0.3,0.2,0.5,0.2,4.4,0.0,.000,-1.8,0.0,,1352181,"Demopolis in Demopolis, Alabama"
