bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
johnsol01,1972-73,23,POR,NBA,78,27.4,.497,,.497,.497,.757,5.3,2.6,,,9.9,13.5,4.1,.093,,
johnsol01,1973-74,24,POR,NBA,79,21.7,.482,,.482,.482,.819,4.1,2.1,0.8,0.4,6.3,11.8,2.0,.057,-1.8,0.1
johnsol01,1974-75,25,"NOJ,KCO",NBA,73,22.8,.473,,.473,.473,.833,3.3,1.5,0.8,0.5,6.9,10.9,2.6,.075,-1.8,0.1
johnsol01,1975-76,26,KCK,NBA,81,26.5,.513,,.513,.513,.839,4.4,1.8,0.8,0.5,10.1,13.5,4.8,.107,-0.7,0.7
johnsol01,1976-77,27,KCK,NBA,81,17.1,.489,,.489,.489,.878,2.6,1.3,0.5,0.3,6.6,12.6,2.9,.102,-1.8,0.1
johnsol01,1977-78,28,ATL,NBA,82,20.8,.472,,.472,.472,.854,3.2,1.5,1.0,0.4,8.5,13.9,3.6,.102,0.0,0.8
johnsol01,1978-79,29,CHI,NBA,71,24.4,.520,,.520,.520,.800,3.2,2.3,0.8,0.5,9.2,12.3,3.1,.085,-0.9,0.5
johnsol01,1979-80,30,CHI,NBA,79,19.4,.497,.091,.506,.498,.882,2.1,2.0,0.7,0.3,7.7,12.3,2.3,.073,-1.9,0.0
johnsol01,1980-81,31,PHI,NBA,40,9.3,.551,.167,.566,.554,.871,1.4,0.8,0.5,0.1,5.1,16.7,1.3,.161,-0.3,0.2
johnsol01,1981-82,32,PHI,NBA,26,5.8,.500,.333,.510,.509,.857,0.8,0.4,0.5,0.1,2.3,12.4,0.2,.076,-0.8,0.0
