name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-2.67,-0.37,lloydsc01,1976-77,MIL,11.2,1.3,.062,-4.2,-0.6,,24,NBA,69,14.9,.472,.754,3.0,0.5,0.3,0.2,5.8,MIL
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-2.26,-0.05,lloydsc01,1977-78,TOT,9.2,0.6,.042,-3.9,-0.3,,25,NBA,70,9.7,.415,.721,2.1,0.6,0.2,0.2,3.0,"MIL,BUF"
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-4.28,-0.70,lloydsc01,1978-79,TOT,3.2,-0.6,-0.058,-6.5,-0.6,,26,NBA,72,6.9,.344,.574,1.3,0.4,0.1,0.1,1.5,"SDC,CHI"
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",,,lloydsc01,1979-80,Did Not Play (other pro league—Italy),,,,,,,27,,,,,,,,,,,Did Not Play (other pro league—Italy)
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-3.39,-1.62,lloydsc01,1980-81,DAL,9.3,1.0,.021,-1.8,0.1,,28,NBA,72,30.4,.448,.717,6.3,2.2,0.5,0.3,8.8,DAL
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-4.16,-1.28,lloydsc01,1981-82,DAL,5.9,-0.1,-0.004,-5.5,-0.9,,29,NBA,74,14.1,.379,.758,2.2,0.9,0.2,0.1,3.9,DAL
Scott Lloyd,/players/l/lloydsc01.html,1977,1983,Arizona State University,false,"East in Phoenix, Arizona",-0.59,0.24,lloydsc01,1982-83,DAL,11.1,0.3,.068,-0.7,0.1,,30,NBA,15,13.7,.380,.647,3.1,1.4,0.4,0.4,3.3,DAL
