bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
maravpe01,1970-71,23,ATL,NBA,81,36.1,.458,,.458,.458,.800,3.7,4.4,,,23.2,17.8,6.2,.102,,,
maravpe01,1971-72,24,ATL,NBA,66,34.9,.427,,.427,.427,.811,3.9,6.0,,,19.3,17.5,4.2,.088,,,
maravpe01,1972-73,25,ATL,NBA,79,39.1,.441,,.441,.441,.800,4.4,6.9,,,26.1,19.6,7.6,.118,,,All-NBA (2nd)
maravpe01,1973-74,26,ATL,NBA,76,38.2,.457,,.457,.457,.826,4.9,5.2,1.5,0.2,27.7,20.3,7.6,.125,2.2,3.1,
maravpe01,1974-75,27,NOJ,NBA,79,36.1,.419,,.419,.419,.811,5.3,6.2,1.5,0.2,21.5,18.3,3.9,.066,2.3,3.1,
maravpe01,1975-76,28,NOJ,NBA,62,38.3,.459,,.459,.459,.811,4.8,5.4,1.4,0.4,25.9,20.5,7.1,.144,3.7,3.4,All-NBA (1st)
maravpe01,1976-77,29,NOJ,NBA,73,41.7,.433,,.433,.433,.835,5.1,5.4,1.2,0.3,31.1,19.8,6.4,.101,1.8,2.9,All-NBA (1st)
maravpe01,1977-78,30,NOJ,NBA,50,40.8,.444,,.444,.444,.870,3.6,6.7,2.0,0.2,27.0,17.6,2.9,.069,0.0,1.0,All-NBA (2nd)
maravpe01,1978-79,31,NOJ,NBA,49,37.2,.421,,.421,.421,.841,2.5,5.0,1.2,0.4,22.6,13.4,0.1,.004,-4.5,-1.1,
maravpe01,1979-80,32,"UTA,BOS",NBA,43,22.4,.449,.667,.443,.459,.867,1.8,1.9,0.6,0.1,13.7,13.8,0.5,.027,-5.8,-0.9,
