name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+0.25,2.88,presspa01,1982-83,MIL,12.8,2.0,.062,0.7,1.0,,24,NBA,79,19.3,.457,.597,3.6,2.6,1.3,0.6,6.7,MIL,
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+1.01,4.66,presspa01,1983-84,MIL,14.5,3.8,.106,1.9,1.7,,25,NBA,81,21.4,.523,.600,3.5,3.1,1.1,0.6,8.3,MIL,
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+3.37,12.01,presspa01,1984-85,MIL,17.6,9.6,.160,4.4,4.7,,26,NBA,80,36.0,.517,.758,5.4,6.8,1.6,0.7,16.1,MIL,152000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+4.48,14.53,presspa01,1985-86,MIL,18.6,9.8,.174,5.3,5.0,,27,NBA,80,33.8,.488,.806,5.0,7.8,2.1,0.9,14.3,MIL,242000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+2.19,7.60,presspa01,1986-87,MIL,16.7,5.5,.129,3.5,2.9,,28,NBA,61,33.7,.477,.738,4.9,7.2,1.8,0.8,13.9,MIL,
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+1.68,7.09,presspa01,1987-88,MIL,17.0,7.1,.136,3.4,3.4,,29,NBA,75,33.1,.491,.798,5.0,7.0,1.5,0.5,13.1,MIL,750000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+1.59,5.66,presspa01,1988-89,MIL,15.0,4.8,.105,2.2,2.3,,30,NBA,67,32.4,.474,.776,3.9,6.6,1.8,0.7,12.1,MIL,800000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",+0.14,2.50,presspa01,1989-90,MIL,15.9,3.0,.102,0.4,0.9,,31,NBA,57,24.6,.472,.758,3.0,4.3,1.2,0.4,11.0,MIL,
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",-0.82,1.77,presspa01,1990-91,SAS,11.4,3.2,.090,-0.6,0.6,,32,NBA,70,24.0,.472,.827,2.5,3.9,0.9,0.5,7.5,SAS,900000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",-2.03,0.11,presspa01,1991-92,SAS,8.0,0.3,.019,-3.8,-0.3,,33,NBA,56,13.6,.373,.683,1.7,2.5,0.5,0.3,2.7,SAS,1000000
Paul Pressey,/players/p/presspa01.html,1983,1993,University of Tulsa,false,"George Wythe in Richmond, Virginia",-1.72,0.10,presspa01,1992-93,GSW,8.4,0.1,.018,-3.8,-0.1,,34,NBA,18,14.9,.439,.778,1.7,1.7,0.6,0.3,4.4,GSW,
