bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,HS,Salary
iavarma01,1982-83,26,PHI,NBA,80,20.2,.462,.690,4.1,1.0,0.4,0.6,5.1,7.3,1.5,.045,-1.3,0.3,,"Kennedy in Plainview, New York",
iavarma01,1983-84,27,PHI,NBA,78,19.6,.463,.740,4.0,1.2,0.5,0.7,5.1,8.1,1.4,.045,-2.0,0.0,,"Kennedy in Plainview, New York",
iavarma01,1984-85,28,Philadelphia 76ers,NBA,69,19.3,.458,.680,4.4,1.7,0.5,0.5,6.0,8.8,0.7,.027,-2.1,0.0,,"Kennedy in Plainview, New York",100000
iavarma01,1984-85,28,Philadelphia 76ers,NBA,12,13.0,.387,1.000,2.4,0.5,0.3,0.3,2.5,3.1,-0.1,-0.039,-5.2,-0.1,,"Kennedy in Plainview, New York",100000
iavarma01,1984-85,28,Philadelphia 76ers,NBA,57,20.7,.464,.664,4.8,2.0,0.5,0.6,6.7,9.6,0.9,.036,-1.7,0.1,,"Kennedy in Plainview, New York",100000
iavarma01,1985-86,29,San Antonio Spurs,NBA,68,14.9,.451,.661,3.1,1.2,0.5,0.3,4.4,8.7,1.0,.046,-2.5,-0.1,,"Kennedy in Plainview, New York",120000
iavarma01,1985-86,29,San Antonio Spurs,NBA,42,15.9,.454,.642,3.1,1.3,0.5,0.3,4.5,8.2,0.4,.028,-2.6,-0.1,,"Kennedy in Plainview, New York",120000
iavarma01,1985-86,29,San Antonio Spurs,NBA,26,13.3,.444,.688,3.0,1.1,0.4,0.1,4.0,9.7,0.6,.080,-2.4,0.0,,"Kennedy in Plainview, New York",120000
iavarma01,1986-87,30,UTA,NBA,78,10.8,.465,.672,2.2,0.5,0.2,0.1,3.6,7.8,1.1,.062,-3.5,-0.3,,"Kennedy in Plainview, New York",
iavarma01,1987-88,31,Utah Jazz,NBA,81,15.3,.464,.788,3.3,0.8,0.3,0.3,4.5,8.6,1.7,.064,-2.0,0.0,,"Kennedy in Plainview, New York",175000
iavarma01,1988-89,32,Utah Jazz,NBA,77,10.3,.442,.818,1.7,0.4,0.1,0.2,2.3,5.3,0.6,.036,-3.9,-0.4,,"Kennedy in Plainview, New York",325000
