bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
masonfr01,2017-18,23,Sacramento Kings,NBA,52,18.9,.379,.817,2.5,2.8,0.7,0.2,7.9,13.0,0.5,.027,-3.4,-0.4,,1184385
masonfr01,2018-19,24,SAC,NBA,4,16.5,.571,.750,2.0,3.8,0.5,0.3,10.0,24.5,0.3,.189,3.5,0.1,,
