bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
thurmna01,1963-64,22,SFW,NBA,76,25.9,.395,.549,10.4,1.1,,,7.0,12.1,3.5,.085,,
thurmna01,1964-65,23,SFW,NBA,77,41.2,.419,.658,18.1,2.0,,,16.5,16.5,6.1,.092,,
thurmna01,1965-66,24,SFW,NBA,73,39.6,.406,.654,18.0,1.5,,,16.3,15.0,4.3,.072,,
thurmna01,1966-67,25,SFW,NBA,65,42.5,.437,.629,21.3,2.6,,,18.7,17.4,7.2,.125,,
thurmna01,1967-68,26,SFW,NBA,51,43.6,.411,.644,22.0,4.2,,,20.5,19.0,5.2,.112,,
thurmna01,1968-69,27,SFW,NBA,71,45.2,.410,.615,19.7,3.6,,,21.5,18.4,6.5,.098,,
thurmna01,1969-70,28,SFW,NBA,43,44.6,.414,.754,17.7,3.5,,,21.9,18.2,3.7,.093,,
thurmna01,1970-71,29,SFW,NBA,82,40.9,.445,.730,13.8,3.1,,,20.0,18.5,7.2,.103,,
thurmna01,1971-72,30,GSW,NBA,78,43.1,.432,.743,16.1,2.9,,,21.4,18.7,9.0,.128,,
thurmna01,1972-73,31,GSW,NBA,79,43.3,.446,.718,17.1,3.5,,,17.1,17.3,9.9,.140,,
thurmna01,1973-74,32,GSW,NBA,62,39.7,.444,.666,14.2,2.7,0.7,2.9,13.0,15.0,6.0,.117,1.5,2.2
thurmna01,1974-75,33,CHI,NBA,80,34.5,.364,.589,11.3,4.1,0.6,2.4,7.9,13.4,4.7,.081,2.3,3.0
thurmna01,1975-76,34,"CHI,CLE",NBA,78,17.9,.421,.504,5.3,1.2,0.3,1.3,4.4,12.0,2.4,.082,-1.1,0.3
thurmna01,1976-77,35,CLE,NBA,49,20.3,.407,.642,7.6,1.7,0.3,1.7,5.5,14.3,2.3,.113,1.5,0.9
