bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
boerwto01,1968-69,23,CHI,NBA,80,29.6,.383,,.383,.383,.653,11.1,2.2,,,9.8,12.9,2.6,.053,,,
boerwto01,1969-70,24,CHI,NBA,81,28.8,.449,,.449,.449,.664,12.5,2.8,,,10.4,15.3,4.4,.090,,,
boerwto01,1970-71,25,CHI,NBA,82,28.9,.485,,.485,.485,.724,13.8,4.8,,,10.8,20.4,9.0,.182,,,
boerwto01,1971-72,26,CHI,NBA,80,25.3,.438,,.438,.438,.656,11.2,3.5,,,7.0,15.9,7.4,.175,,,
boerwto01,1972-73,27,CHI,NBA,8,22.0,.375,,.375,.375,.600,6.8,5.0,,,3.8,14.3,0.5,.146,,,
boerwto01,1973-74,28,CHI,NBA,46,13.1,.487,,.487,.487,.700,4.6,2.0,0.3,0.4,3.4,15.4,1.7,.134,2.9,0.7,
boerwto01,1974-75,29,CHI,NBA,80,14.7,.487,,.487,.487,.768,4.8,3.4,0.3,0.6,4.2,18.6,3.8,.153,5.4,2.2,
boerwto01,1975-76,30,CHI,NBA,74,27.6,.500,,.500,.500,.667,10.7,3.8,0.6,0.7,8.8,17.7,6.3,.147,5.2,3.7,
boerwto01,1976-77,31,CHI,NBA,82,13.0,.491,,.491,.491,.540,3.8,2.3,0.2,0.2,3.7,14.7,2.3,.102,1.4,0.9,
boerwto01,1977-78,32,CHI,NBA,22,10.3,.460,,.460,.460,.769,2.7,2.0,0.1,0.2,2.5,10.3,0.2,.035,-3.0,-0.1,
