bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
woodda01,1988-89,24,CHI,NBA,2,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-6.6,0.0,,
woodda01,1989-90,25,Did Not Play (other pro league—Spain),,,,,,,,,,,,,,,,,
woodda01,1990-91,26,Houston Rockets,NBA,82,17.3,.424,.812,3.0,1.1,0.7,0.2,5.3,9.6,2.8,.096,-0.1,0.7,,300000
woodda01,1991-92,27,Did Not Play (other pro league—Spain),,,,,,,,,,,,,,,,,
woodda01,1992-93,28,San Antonio Spurs,NBA,64,9.3,.444,.836,1.5,0.5,0.2,0.2,2.4,8.7,1.0,.082,-1.6,0.1,,375000
woodda01,1993-94,29,Detroit Pistons,NBA,78,15.2,.459,.756,3.1,0.7,0.5,0.2,4.1,11.1,2.3,.095,-0.7,0.4,,488000
woodda01,1994-95,30,Golden State Warriors,NBA,78,17.1,.469,.778,3.1,0.8,0.4,0.2,5.5,10.3,2.2,.078,-2.0,0.0,,150000
woodda01,1995-96,31,Golden State Warriors,NBA,62,12.5,.431,.760,2.5,0.5,0.3,0.2,3.4,9.2,1.3,.081,-3.0,-0.2,,350000
woodda01,1995-96,31,Golden State Warriors,NBA,21,4.6,.500,.875,0.8,0.2,0.1,0.0,1.0,8.7,0.2,.111,-1.6,0.0,,350000
woodda01,1995-96,31,Golden State Warriors,NBA,4,8.5,.167,1.000,1.3,0.5,0.3,0.0,1.0,-0.6,0.0,-0.068,-7.7,0.0,,350000
woodda01,1995-96,31,Golden State Warriors,NBA,37,17.4,.435,.725,3.6,0.7,0.4,0.2,4.9,9.8,1.1,.084,-2.9,-0.1,,350000
woodda01,1996-97,32,Milwaukee Bucks,NBA,46,5.2,.526,.667,0.6,0.3,0.2,0.1,1.2,10.2,0.5,.110,-1.0,0.1,,247500
