bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
eakinji01,1968-69,22,OAK,ABA,78,21.4,.543,.000,.544,.543,.719,7.2,0.7,,,13.0,21.0,7.4,.212,,
eakinji01,1969-70,23,WSA,ABA,82,14.8,.497,,.497,.497,.741,5.0,0.9,,,6.4,15.3,2.9,.116,,
eakinji01,1970-71,24,VIR,ABA,84,26.6,.515,,.515,.515,.759,9.3,1.9,,,10.8,15.6,6.6,.141,,
eakinji01,1971-72,25,VIR,ABA,84,32.4,.486,,.486,.486,.764,9.6,2.2,,,12.3,14.4,7.4,.131,,
eakinji01,1972-73,26,VIR,ABA,83,30.8,.522,.000,.523,.522,.802,8.8,3.2,,1.6,15.0,19.2,9.0,.170,,
eakinji01,1973-74,27,VIR,ABA,84,31.5,.520,.000,.520,.520,.785,9.6,2.8,0.8,1.2,14.6,19.0,8.5,.153,3.4,3.6
eakinji01,1974-75,28,UTS,ABA,84,30.5,.503,,.503,.503,.836,7.2,1.7,0.7,1.0,12.5,15.8,7.6,.142,1.9,2.5
eakinji01,1975-76,29,"UTS,VIR,NYA",ABA,73,22.8,.451,,.451,.451,.888,6.0,1.2,0.5,1.0,8.6,13.5,3.6,.103,-0.4,1.7
eakinji01,1976-77,30,KCK,NBA,82,16.3,.449,,.449,.449,.847,4.4,1.5,0.4,0.6,6.0,14.6,3.6,.128,0.4,0.8
eakinji01,1977-78,31,"SAS,MIL",NBA,33,12.3,.512,,.512,.512,.833,2.3,0.9,0.2,0.5,4.2,11.2,0.9,.105,-1.3,0.1
