bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
boonero01,1968-69,22,DLC,ABA,78,34.4,.434,.133,.438,.435,.812,5.1,3.6,,,18.9,14.7,5.9,.105,,,
boonero01,1969-70,23,DLC,ABA,84,27.9,.432,.309,.439,.440,.785,4.4,3.2,,,13.8,12.8,4.0,.082,,,
boonero01,1970-71,24,"TEX,UTS",ABA,86,28.8,.437,.355,.446,.455,.779,6.6,3.0,,,18.0,16.5,5.1,.098,,,
boonero01,1971-72,25,UTS,ABA,84,24.3,.420,.200,.436,.427,.795,4.7,2.8,,,13.0,14.3,2.8,.066,,,
boonero01,1972-73,26,UTS,ABA,84,30.8,.498,.250,.507,.503,.866,5.1,4.2,,,18.5,18.9,9.7,.180,,,
boonero01,1973-74,27,UTS,ABA,84,36.9,.494,.231,.500,.497,.875,5.2,5.0,1.5,0.3,17.6,16.5,5.9,.091,1.1,2.4,All-ABA (2nd)
boonero01,1974-75,28,UTS,ABA,84,40.6,.491,.303,.495,.494,.860,4.8,4.4,1.5,0.4,25.2,18.4,8.3,.117,2.0,3.5,All-ABA (1st)
boonero01,1975-76,29,"UTS,SSL",ABA,78,38.0,.486,.372,.489,.491,.871,4.1,5.0,2.0,0.2,22.0,17.3,6.2,.101,0.8,4.1,
boonero01,1976-77,30,KCK,NBA,82,36.8,.474,,.474,.474,.844,3.9,4.1,1.5,0.2,22.2,17.5,8.1,.128,1.3,2.5,
boonero01,1977-78,31,KCK,NBA,82,32.4,.443,,.443,.443,.854,3.3,3.8,1.3,0.1,17.7,14.0,2.6,.047,-1.6,0.2,
boonero01,1978-79,32,LAL,NBA,82,19.3,.455,,.455,.455,.865,1.8,1.9,0.8,0.1,7.4,9.3,0.4,.012,-4.0,-0.8,
boonero01,1979-80,33,"LAL,UTA",NBA,81,29.5,.443,.380,.446,.453,.893,2.8,3.8,1.2,0.0,12.4,12.1,1.0,.020,-3.4,-0.8,
boonero01,1980-81,34,UTA,NBA,52,22.0,.431,.282,.449,.446,.798,1.6,3.1,0.6,0.2,7.8,9.0,-0.6,-0.025,-6.1,-1.2,
