bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
abdulza01,1968-69,22,"CIN,MIL",NBA,49,19.3,.369,,.369,.369,.619,8.3,0.8,,,7.3,12.3,-0.3,-0.016,,
abdulza01,1969-70,23,MIL,NBA,80,20.5,.434,,.434,.434,.643,7.5,0.8,,,7.4,12.4,2.0,.059,,
abdulza01,1970-71,24,SEA,NBA,61,20.9,.441,,.441,.441,.739,7.7,0.7,,,10.9,16.1,1.8,.067,,
abdulza01,1971-72,25,SEA,NBA,58,30.7,.429,,.429,.429,.720,11.3,2.1,,,13.8,15.9,1.9,.052,,
abdulza01,1972-73,26,HOU,NBA,48,18.8,.397,,.397,.397,.735,6.3,1.1,,,8.7,14.5,1.0,.051,,
abdulza01,1973-74,27,HOU,NBA,79,31.1,.459,,.459,.459,.804,11.7,2.1,1.0,1.3,10.9,15.9,6.5,.126,1.0,1.8
abdulza01,1974-75,28,HOU,NBA,65,22.3,.437,,.437,.437,.783,7.5,1.3,0.6,1.1,9.7,17.1,3.7,.124,-0.9,0.4
abdulza01,1975-76,29,SEA,NBA,27,8.3,.467,,.467,.467,.552,2.8,0.6,0.3,0.6,3.2,16.4,0.6,.119,0.0,0.1
abdulza01,1976-77,30,BUF,NBA,22,8.9,.338,,.338,.338,.767,4.1,0.3,0.1,0.4,3.8,16.3,0.3,.078,-5.1,-0.2
abdulza01,1977-78,31,"BOS,HOU",NBA,16,9.9,.383,,.383,.383,.739,3.1,0.6,0.2,0.2,3.9,11.4,0.1,.033,-4.3,-0.1
