bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
weissbo01,1965-66,23,PHI,NBA,7,4.3,.333,,1.0,0.6,,,0.9,3.5,0.0,-0.010,,
weissbo01,1966-67,24,PHI,NBA,6,4.8,.500,.400,0.5,1.7,,,2.0,14.3,0.1,.122,,
weissbo01,1967-68,25,SEA,NBA,82,19.7,.430,.839,1.8,4.2,,,9.8,15.8,2.9,.086,,
weissbo01,1968-69,26,"MIL,CHI",NBA,77,19.2,.379,.800,2.1,2.6,,,6.6,10.7,1.7,.054,,
weissbo01,1969-70,27,CHI,NBA,82,31.0,.427,.842,2.8,5.8,,,11.5,12.5,3.6,.068,,
weissbo01,1970-71,28,CHI,NBA,82,27.3,.422,.840,2.3,4.7,,,9.5,12.6,4.7,.102,,
weissbo01,1971-72,29,CHI,NBA,82,29.9,.430,.835,2.1,4.6,,,11.3,12.4,5.6,.110,,
weissbo01,1972-73,30,CHI,NBA,82,25.4,.426,.841,1.8,3.6,,,8.7,12.0,4.3,.099,,
weissbo01,1973-74,31,CHI,NBA,79,21.6,.466,.835,1.3,3.8,1.3,0.2,8.5,15.4,4.4,.124,0.1,0.9
weissbo01,1974-75,32,BUF,NBA,76,17.6,.391,.806,1.4,3.4,1.1,0.3,3.4,10.5,1.1,.040,-3.0,-0.3
weissbo01,1975-76,33,BUF,NBA,66,15.1,.486,.729,1.0,2.3,0.7,0.2,3.2,10.0,1.4,.066,-3.9,-0.5
weissbo01,1976-77,34,WSB,NBA,62,12.4,.466,.784,1.1,2.1,0.9,0.1,2.5,11.3,1.4,.089,-1.3,0.1
