bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
haywosp01,1969-70,20,DNR,ABA,84,45.3,.493,.000,.496,.493,.776,19.5,2.3,,,30.0,28.0,17.1,.216,,,All-ABA (1st)
haywosp01,1970-71,21,SEA,NBA,33,35.2,.449,,.449,.449,.734,12.0,1.5,,,20.6,18.0,2.2,.091,,,
haywosp01,1971-72,22,SEA,NBA,73,43.4,.461,,.461,.461,.819,12.7,2.0,,,26.2,19.7,8.7,.131,,,All-NBA (1st)
haywosp01,1972-73,23,SEA,NBA,77,42.3,.476,,.476,.476,.839,12.9,2.5,,,29.2,22.7,10.2,.150,,,All-NBA (1st)
haywosp01,1973-74,24,SEA,NBA,75,40.5,.457,,.457,.457,.814,13.4,3.2,0.9,1.4,23.5,19.4,9.7,.153,2.6,3.5,All-NBA (2nd)
haywosp01,1974-75,25,SEA,NBA,68,37.2,.459,,.459,.459,.811,9.3,2.0,0.8,1.6,22.4,19.0,7.3,.138,0.6,1.6,All-NBA (2nd)
haywosp01,1975-76,26,NYK,NBA,78,37.1,.445,,.445,.445,.757,11.3,1.2,0.7,1.0,19.9,17.2,6.8,.114,-1.6,0.3,
haywosp01,1976-77,27,NYK,NBA,31,32.9,.450,,.450,.450,.832,9.0,1.6,0.5,0.9,16.5,15.6,2.1,.096,-1.9,0.0,
haywosp01,1977-78,28,NYK,NBA,67,26.3,.484,,.484,.484,.711,6.6,1.9,0.6,1.1,13.7,15.7,3.1,.083,-1.2,0.3,
haywosp01,1978-79,29,"NYK,NOJ",NBA,68,34.7,.494,,.494,.494,.791,7.8,1.9,0.6,1.2,20.9,16.8,4.3,.087,-1.4,0.3,
haywosp01,1979-80,30,LAL,NBA,76,20.3,.487,.250,.489,.488,.772,4.6,1.2,0.5,0.8,9.7,13.9,3.1,.095,-2.4,-0.2,
haywosp01,1980-81,31,Did Not Play (other pro league—Italy),,,,,,,,,,,,,,,,,,,
haywosp01,1981-82,32,WSB,NBA,76,27.4,.476,.000,.478,.476,.842,5.6,0.8,0.6,0.9,13.3,13.2,3.6,.083,-1.9,0.1,
haywosp01,1982-83,33,WSB,NBA,38,20.4,.401,.000,.402,.401,.724,4.8,0.8,0.3,0.7,8.2,10.0,0.4,.025,-4.6,-0.5,
