name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-1.54,0.13,bassbr01,2005-06,NOK,9.1,0.1,.013,-8.2,-0.4,,NBA,398762,20,29,9.2,.400,.632,2.3,0.1,0.1,0.2,2.3,NOK
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-0.66,0.17,bassbr01,2006-07,NOK,7.2,0.0,-0.011,-8.7,-0.3,,NBA,664209,21,21,7.7,.341,.750,2.0,0.1,0.1,0.1,2.0,NOK
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-2.69,-0.42,bassbr01,2007-08,DAL,15.9,4.3,.132,-1.0,0.4,,NBA,770610,22,79,19.7,.499,.822,4.4,0.7,0.3,0.6,8.3,DAL
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-0.42,2.23,bassbr01,2008-09,DAL,16.4,4.1,.124,-2.1,-0.1,,NBA,826269,23,81,19.4,.496,.867,4.5,0.5,0.3,0.7,8.5,DAL
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-1.02,0.59,bassbr01,2009-10,ORL,16.5,2.0,.147,-1.0,0.2,,NBA,4000000,24,50,13.0,.511,.825,2.5,0.4,0.2,0.5,5.8,ORL
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-0.62,2.35,bassbr01,2010-11,ORL,15.9,6.3,.153,-0.5,0.7,,NBA,4000000,25,76,26.1,.515,.815,5.6,0.8,0.4,0.7,11.2,ORL
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-0.97,2.10,bassbr01,2011-12,BOS,14.1,4.7,.122,-1.1,0.4,,NBA,4250000,26,59,31.7,.479,.810,6.2,0.9,0.6,0.9,12.5,BOS
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-2.56,-0.59,bassbr01,2012-13,BOS,12.3,4.7,.101,-1.2,0.4,,NBA,6000000,27,81,27.6,.486,.860,5.2,1.0,0.5,0.8,8.7,BOS
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-2.93,-1.05,bassbr01,2013-14,BOS,15.0,5.1,.107,-1.2,0.5,,NBA,6450000,28,82,27.6,.486,.858,5.7,1.1,0.4,0.9,11.1,BOS
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-1.52,0.98,bassbr01,2014-15,BOS,16.3,5.3,.132,-0.5,0.7,,NBA,6900000,29,82,23.5,.504,.790,4.9,1.3,0.5,0.4,10.6,BOS
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",+1.31,3.25,bassbr01,2015-16,LAL,17.4,4.1,.146,0.8,1.0,,NBA,3000000,30,66,20.3,.549,.845,4.3,1.1,0.5,0.8,7.2,LAL
Brandon Bass,/players/b/bassbr01.html,2006,2017,Louisiana State University,false,"Capitol in Baton Rouge, Louisiana",-3.51,-0.41,bassbr01,2016-17,LAC,19.7,2.2,.186,-0.7,0.2,,NBA,1551659,31,52,11.1,.575,.875,2.5,0.4,0.3,0.2,5.6,LAC
