bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
gordobe01,2004-05,21,CHI,NBA,82,24.4,.411,.405,.414,.474,.863,2.6,2.0,0.6,0.1,15.1,
gordobe01,2005-06,22,CHI,NBA,80,31.0,.422,.435,.416,.494,.787,2.7,3.0,0.9,0.1,16.9,
gordobe01,2006-07,23,CHI,NBA,82,33.0,.455,.413,.471,.513,.864,3.1,3.6,0.8,0.2,21.4,
gordobe01,2007-08,24,CHI,NBA,72,31.8,.434,.410,.445,.500,.908,3.1,3.0,0.8,0.1,18.6,
gordobe01,2008-09,25,CHI,NBA,82,36.6,.455,.410,.476,.521,.864,3.5,3.4,0.9,0.3,20.7,
gordobe01,2009-10,26,DET,NBA,62,27.9,.416,.321,.465,.470,.861,1.9,2.7,0.8,0.1,13.8,
gordobe01,2010-11,27,DET,NBA,82,26.0,.440,.402,.460,.510,.850,2.4,2.1,0.6,0.2,11.2,
gordobe01,2011-12,28,DET,NBA,52,26.9,.442,.429,.446,.501,.860,2.3,2.4,0.7,0.2,12.5,
gordobe01,2012-13,29,CHA,NBA,75,20.8,.408,.387,.421,.482,.843,1.7,1.9,0.5,0.2,11.2,
gordobe01,2013-14,30,CHA,NBA,19,14.7,.343,.276,.367,.380,.810,1.4,1.1,0.5,0.1,5.2,
gordobe01,2014-15,31,ORL,NBA,56,14.1,.437,.361,.475,.497,.836,1.1,0.9,0.3,0.0,6.2,
