name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-2.69,-0.28,gattike01,1986-87,PHO,9.4,0.7,.031,-5.1,-0.9,,22,NBA,77,14.3,.476,.632,3.5,0.5,0.3,0.4,5.2,PHO,
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",,,gattike01,1987-88,Did Not Play (injury),,,,,,,23,NBA,,,,,,,,,,Did Not Play (injury),110000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-0.17,0.01,gattike01,1988-89,PHO,-2.8,0.0,-0.037,-10.6,0.0,,24,NBA,2,4.5,.000,.500,0.5,0.0,0.0,0.0,0.5,PHO,
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-1.81,0.28,gattike01,1989-90,CHH,12.9,1.5,.075,-1.3,0.2,,25,NBA,63,14.9,.550,.682,3.1,0.6,0.6,0.5,5.9,CHH,
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-0.79,1.56,gattike01,1990-91,CHH,14.4,3.0,.092,-1.2,0.3,,26,NBA,72,21.6,.532,.661,5.3,0.6,0.7,0.9,9.0,CHH,355000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-0.49,2.69,gattike01,1991-92,CHH,15.3,4.5,.097,-0.6,0.8,,27,NBA,82,27.1,.529,.688,7.1,1.6,0.7,0.8,12.7,CHH,456000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-0.99,1.46,gattike01,1992-93,CHH,12.5,3.2,.103,-0.3,0.6,,28,NBA,75,19.7,.529,.604,4.7,0.9,0.6,0.7,6.8,CHH,598000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-0.57,1.91,gattike01,1993-94,CHH,13.3,3.5,.102,-0.1,0.8,,29,NBA,77,21.4,.524,.646,4.6,1.2,0.8,0.6,7.7,CHH,1250000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-2.16,0.03,gattike01,1994-95,CHH,9.2,0.5,.055,-3.4,-0.1,,30,NBA,21,19.5,.470,.608,3.6,0.8,0.3,0.7,6.0,CHH,1250000
Kenny Gattison,/players/g/gattike01.html,1987,1996,Old Dominion University,false,"New Hanover in Wilmington, North Carolina",-3.01,-0.32,gattike01,1995-96,VAN,10.7,0.1,.012,-6.6,-0.7,,31,NBA,25,22.8,.479,.603,4.6,0.6,0.4,0.4,9.2,VAN,1450000
