name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+0.06,4.62,carrojo01,1980-81,GSW,16.4,5.7,.094,-0.9,0.8,,22,NBA,82,35.6,.491,.716,9.3,1.4,0.6,1.5,18.9,GSW,
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+0.53,4.99,carrojo01,1981-82,GSW,15.9,5.5,.100,-0.6,0.9,,23,NBA,76,34.6,.519,.728,8.3,0.8,0.8,1.7,17.0,GSW,
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+1.46,7.58,carrojo01,1982-83,GSW,20.1,7.0,.113,1.3,2.5,,24,NBA,79,37.8,.513,.719,8.7,2.1,1.4,2.0,24.1,GSW,
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+0.38,5.32,carrojo01,1983-84,GSW,16.8,4.7,.077,0.2,1.6,,25,NBA,80,37.0,.477,.723,8.0,2.5,1.3,1.8,20.5,GSW,
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",,,carrojo01,1984-85,Did Not Play (other pro league—Italy),,,,,,,26,,,,,,,,,,,Did Not Play (other pro league—Italy),
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+0.25,4.78,carrojo01,1985-86,GSW,17.2,3.4,.059,-0.7,0.9,,27,NBA,79,35.5,.463,.752,8.5,2.2,1.3,1.8,21.2,GSW,800000
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",+0.93,6.59,carrojo01,1986-87,GSW,18.4,4.6,.082,0.4,1.6,,28,NBA,81,33.6,.472,.787,7.3,2.6,1.1,1.5,21.2,GSW,
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",-1.98,0.42,carrojo01,1987-88,TOT,13.6,1.6,.039,-3.0,-0.5,,29,NBA,77,26.0,.435,.764,6.4,1.5,0.6,1.4,12.7,"GSW,HOU",1325000
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",-1.07,1.61,carrojo01,1988-89,NJN,14.2,2.3,.056,-1.4,0.3,,30,NBA,64,31.2,.448,.800,7.4,1.6,1.1,1.3,14.1,NJN,1400000
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",-1.64,0.72,carrojo01,1989-90,TOT,12.6,0.7,.019,-3.4,-0.6,,31,NBA,76,22.6,.411,.774,5.8,1.3,0.6,1.5,10.0,"NJN,DEN",1200000
Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,Purdue University,false,"East in Denver, Colorado",-0.48,0.13,carrojo01,1990-91,PHO,8.6,0.0,-0.014,-5.2,-0.1,,32,NBA,11,8.7,.361,.917,2.2,1.0,0.1,0.7,3.4,PHO,350000
