bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
kenonla01,1973-74,21,NYA,ABA,84,34.6,.462,.000,.463,.462,.703,11.5,1.3,0.9,0.2,15.9,14.6,5.9,.097,-1.3,0.5
kenonla01,1974-75,22,NYA,ABA,84,37.7,.509,.500,.509,.510,.770,10.7,1.5,1.3,0.4,18.7,17.0,10.0,.152,0.6,2.1
kenonla01,1975-76,23,SAA,ABA,81,36.0,.481,.000,.482,.481,.781,11.1,1.9,1.1,0.5,18.7,16.6,6.2,.101,-0.4,1.2
kenonla01,1976-77,24,SAS,NBA,78,37.6,.492,,.492,.492,.823,11.3,2.9,2.1,0.8,21.9,19.8,9.5,.155,2.9,3.7
kenonla01,1977-78,25,SAS,NBA,81,35.4,.489,,.489,.489,.854,9.5,3.3,1.4,0.3,20.6,19.0,7.5,.126,1.8,2.7
kenonla01,1978-79,26,SAS,NBA,81,36.4,.504,,.504,.504,.845,9.8,4.1,1.9,0.2,22.1,19.8,8.8,.144,3.5,4.1
kenonla01,1979-80,27,SAS,NBA,78,35.9,.485,.111,.488,.486,.783,9.9,3.0,1.4,0.2,20.1,17.2,5.4,.093,0.5,1.8
kenonla01,1980-81,28,CHI,NBA,77,28.1,.480,,.480,.480,.735,5.2,1.6,1.0,0.2,14.1,15.2,4.1,.092,-1.4,0.3
kenonla01,1981-82,29,CHI,NBA,60,17.3,.466,,.466,.466,.568,3.0,1.1,0.5,0.1,7.2,11.2,0.2,.009,-4.5,-0.6
kenonla01,1982-83,30,"CHI,GSW,CLE",NBA,48,16.0,.463,.000,.465,.463,.737,3.1,0.8,0.5,0.2,5.8,12.3,0.9,.055,-2.4,-0.1
