bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
mixst01,1969-70,22,DET,NBA,18,15.3,.480,,.480,.480,.590,3.6,0.8,,,6.6,13.1,0.4,.063,,
mixst01,1970-71,23,DET,NBA,35,20.9,.446,,.446,.446,.764,4.7,1.0,,,8.3,12.7,1.3,.083,,
mixst01,1971-72,24,"DET,DNR",TOT,9,12.0,.333,,.333,.333,.583,2.7,0.4,,,4.3,7.9,-0.3,-0.122,,
mixst01,1972-73,25,Did Not Play (other pro league—CBA),,,,,,,,,,,,,,,,,,
mixst01,1973-74,26,PHI,NBA,82,36.2,.475,,.475,.475,.792,10.5,1.9,2.6,0.5,14.9,16.3,8.2,.132,2.6,3.5
mixst01,1974-75,27,PHI,NBA,46,38.0,.481,,.481,.481,.776,10.9,2.2,1.7,0.5,15.6,16.4,5.1,.141,2.1,1.8
mixst01,1975-76,28,PHI,NBA,81,37.5,.499,,.499,.499,.818,8.2,2.7,2.0,0.4,13.9,15.1,9.4,.148,2.8,3.7
mixst01,1976-77,29,PHI,NBA,75,26.1,.523,,.523,.523,.817,5.0,2.0,1.2,0.3,10.5,15.1,6.5,.158,1.3,1.6
mixst01,1977-78,30,PHI,NBA,82,22.2,.520,,.520,.520,.795,3.6,2.1,1.1,0.0,9.2,14.8,5.1,.134,1.0,1.4
mixst01,1978-79,31,PHI,NBA,74,17.1,.538,,.538,.538,.801,4.0,1.6,0.8,0.2,9.3,19.4,4.9,.186,2.2,1.4
mixst01,1979-80,32,PHI,NBA,81,19.0,.516,.400,.518,.519,.831,3.6,1.8,0.8,0.1,11.6,19.5,5.5,.172,1.1,1.2
mixst01,1980-81,33,PHI,NBA,72,18.4,.501,.000,.503,.501,.833,3.7,1.6,0.8,0.3,10.8,19.7,5.5,.201,2.1,1.4
mixst01,1981-82,34,PHI,NBA,75,16.5,.506,.250,.509,.508,.791,3.0,1.2,0.6,0.2,7.2,15.8,3.7,.144,0.3,0.7
mixst01,1982-83,35,"MIL,LAL",NBA,58,13.9,.484,.250,.487,.486,.852,2.4,1.2,0.6,0.1,6.0,15.1,2.4,.142,-0.5,0.3
