bbrID,Season,Age,Tm,Award,HS,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
mcdanji01,1976-77,28,Did Not Play,,"Allen County in Scottsville, Kentucky",,,,,,,,,,,,,,,
mcdanji01,1977-78,29,BUF,,"Allen County in Scottsville, Kentucky",NBA,42,16.5,.427,.857,4.3,1.0,0.1,0.9,5.6,10.2,0.5,.035,-3.7,-0.3
