bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
beckby01,1967-68,23,DNR,ABA,71,22.9,.482,.000,.484,.482,.748,7.9,0.5,,,9.4,18.6,5.7,.168,,
beckby01,1968-69,24,DNR,ABA,71,32.2,.502,.667,.501,.503,.765,11.0,1.1,,,14.5,19.4,6.4,.135,,
beckby01,1969-70,25,DNR,ABA,79,31.1,.523,.000,.524,.523,.787,9.7,1.4,,,12.9,16.8,8.1,.159,,
beckby01,1970-71,26,DNR,ABA,84,33.9,.474,.286,.477,.476,.868,10.5,2.1,,,13.6,14.9,5.3,.088,,
beckby01,1971-72,27,DNR,ABA,66,27.5,.504,.000,.506,.504,.843,8.0,2.1,,,12.3,17.1,5.7,.150,,
beckby01,1972-73,28,DNR,ABA,77,29.9,.530,.286,.532,.531,.798,7.0,1.4,,,14.2,16.0,7.7,.161,,
beckby01,1973-74,29,DNR,ABA,82,24.1,.516,.000,.517,.516,.851,5.1,0.9,0.6,0.1,11.8,15.8,5.9,.142,0.1,1.1
beckby01,1974-75,30,DNA,ABA,84,21.6,.515,.000,.516,.515,.835,4.1,1.3,0.7,0.2,10.1,13.6,5.1,.134,-0.7,0.6
beckby01,1975-76,31,DNA,ABA,80,19.8,.517,.455,.518,.521,.836,4.4,1.5,0.6,0.3,9.6,14.9,4.4,.133,-0.6,0.6
beckby01,1976-77,32,DEN,NBA,53,9.1,.435,,.435,.435,.818,1.8,0.6,0.3,0.0,4.7,13.2,0.8,.078,-4.6,-0.3
