bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
jonesji01,1967-68,23,NOB,ABA,78,41.7,.467,.222,.468,.467,.709,5.7,2.3,,,18.8,13.9,9.3,.137,,,
jonesji01,1968-69,24,NOB,ABA,77,41.4,.535,.143,.537,.535,.805,5.7,5.7,,,26.6,24.7,16.1,.242,,,All-ABA (1st)
jonesji01,1969-70,25,NOB,ABA,70,35.9,.497,.222,.500,.498,.810,4.5,4.9,,,20.7,19.3,10.5,.200,,,
jonesji01,1970-71,26,MMP,ABA,80,37.6,.486,.571,.486,.488,.778,4.8,5.9,,,19.6,17.4,10.3,.164,,,
jonesji01,1971-72,27,UTS,ABA,78,37.2,.512,.167,.514,.512,.779,4.8,6.2,,,15.5,14.7,8.3,.138,,,
jonesji01,1972-73,28,UTS,ABA,80,35.6,.523,.000,.524,.523,.799,4.2,5.6,,,16.7,15.4,9.3,.157,,,All-ABA (1st)
jonesji01,1973-74,29,UTS,ABA,83,38.1,.550,.000,.551,.550,.884,4.3,5.2,1.9,0.4,16.8,18.0,8.8,.134,2.6,3.7,All-ABA (1st)
jonesji01,1974-75,30,WSB,NBA,73,19.5,.518,,.518,.518,.725,1.9,2.2,1.0,0.1,7.1,13.2,4.1,.137,0.8,1.0,
jonesji01,1975-76,31,WSB,NBA,64,17.7,.497,,.497,.497,.766,2.0,1.9,0.5,0.1,5.9,11.9,2.2,.095,-1.7,0.1,
jonesji01,1976-77,32,WSB,NBA,3,11.0,.222,,.222,.222,.500,1.3,0.3,0.7,0.0,2.0,3.0,-0.1,-0.080,-9.0,-0.1,
