name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",-1.17,0.04,davisro01,1976-77,ATL,2.1,-0.4,-0.256,-13.6,-0.2,,22,NBA,7,9.6,.229,.308,1.0,0.3,1.0,0.0,2.9,ATL
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",,,davisro01,1977-78,Did Not Play (other pro league—CBA),,,,,,,23,,,,,,,,,,,Did Not Play (other pro league—CBA)
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",,,davisro01,1978-79,Did Not Play (other pro league—CBA),,,,,,,24,,,,,,,,,,,Did Not Play (other pro league—CBA)
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",,,davisro01,1979-80,Did Not Play (other pro league—CBA),,,,,,,25,,,,,,,,,,,Did Not Play (other pro league—CBA)
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",-1.69,0.31,davisro01,1980-81,SDC,11.8,0.6,.035,-4.0,-0.4,,26,NBA,64,12.8,.443,.595,1.9,0.7,0.6,0.2,5.8,SDC
Ron Davis,/players/d/davisro01.html,1977,1982,Washington State University,false,"Maryvale in Phoenix, Arizona",-0.30,0.09,davisro01,1981-82,SDC,6.6,-0.1,-0.066,-8.4,-0.1,,27,NBA,7,9.6,.400,.500,1.9,0.6,0.0,0.0,3.3,SDC
