bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
monroea01,1967-68,23,BAL,NBA,82,36.7,.453,,.453,.453,.781,5.7,4.3,,,24.3,19.3,9.3,.148,,,
monroea01,1968-69,24,BAL,NBA,80,38.4,.440,,.440,.440,.768,3.5,4.9,,,25.8,18.4,8.8,.138,,,All-NBA (1st)
monroea01,1969-70,25,BAL,NBA,82,37.2,.446,,.446,.446,.830,3.1,4.9,,,23.4,17.3,8.3,.130,,,
monroea01,1970-71,26,BAL,NBA,81,35.1,.442,,.442,.442,.802,2.6,4.4,,,21.4,17.1,7.1,.119,,,
monroea01,1971-72,27,"BAL,NYK",NBA,63,21.2,.434,,.434,.434,.781,1.6,2.3,,,11.9,14.9,2.5,.089,,,
monroea01,1972-73,28,NYK,NBA,75,31.6,.488,,.488,.488,.822,3.3,3.8,,,15.5,16.1,7.8,.158,,,
monroea01,1973-74,29,NYK,NBA,41,29.1,.468,,.468,.468,.823,3.0,2.7,0.8,0.5,14.0,14.5,2.8,.111,-0.9,0.3,
monroea01,1974-75,30,NYK,NBA,78,36.1,.457,,.457,.457,.827,4.2,3.5,1.4,0.4,20.9,17.7,6.6,.113,0.9,2.1,
monroea01,1975-76,31,NYK,NBA,76,38.0,.478,,.478,.478,.787,3.6,4.0,1.5,0.3,20.7,17.1,7.2,.119,1.7,2.7,
monroea01,1976-77,32,NYK,NBA,77,34.5,.517,,.517,.517,.839,2.9,4.8,1.2,0.3,19.9,18.1,7.8,.141,1.9,2.6,
monroea01,1977-78,33,NYK,NBA,76,31.2,.495,,.495,.495,.832,2.4,4.8,0.8,0.3,17.8,16.9,5.8,.117,-1.3,0.4,
monroea01,1978-79,34,NYK,NBA,64,21.8,.471,,.471,.471,.838,1.2,3.0,0.8,0.1,12.3,15.4,2.5,.085,-3.4,-0.5,
monroea01,1979-80,35,NYK,NBA,51,12.4,.457,,.457,.457,.875,0.7,1.3,0.4,0.1,7.4,15.3,1.1,.081,-5.5,-0.6,
