name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-2.96,-0.43,carrke01,1977-78,LAL,9.2,0.0,-0.001,-7.0,-0.9,,22,NBA,52,14.1,.444,.647,4.0,0.5,0.3,0.3,6.2,LAL,
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-1.89,0.28,carrke01,1978-79,LAL,12.6,1.1,.046,-4.0,-0.6,,23,NBA,72,16.0,.500,.606,4.1,0.8,0.5,0.4,7.4,LAL,
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-0.16,2.64,carrke01,1979-80,TOT,15.9,3.8,.099,-1.2,0.4,,24,NBA,79,23.3,.492,.658,7.4,1.0,0.8,0.7,11.8,"LAL,CLE",
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",+0.03,4.09,carrke01,1980-81,CLE,17.0,5.8,.107,0.8,1.9,,25,NBA,81,32.3,.511,.714,10.3,2.4,0.9,0.5,15.2,CLE,
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-1.75,0.67,carrke01,1981-82,TOT,14.7,2.9,.073,-1.6,0.2,,26,NBA,74,26.0,.503,.656,7.2,1.2,0.9,0.3,12.1,"CLE,DET",
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-0.53,2.94,carrke01,1982-83,POR,13.7,5.1,.106,-0.4,0.9,,27,NBA,82,28.4,.505,.697,7.2,1.4,0.8,0.5,12.0,POR,
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",+0.54,5.01,carrke01,1983-84,POR,17.3,6.7,.131,1.0,1.9,,28,NBA,82,29.9,.561,.673,7.8,1.9,0.8,0.4,15.6,POR,
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-1.63,0.62,carrke01,1984-85,POR,13.4,2.1,.091,-2.6,-0.2,,29,NBA,48,23.3,.523,.720,6.7,1.2,0.5,0.4,10.4,POR,465000
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-0.64,1.89,carrke01,1985-86,POR,13.3,3.1,.095,-1.5,0.2,,30,NBA,55,28.3,.498,.687,8.9,1.3,0.7,0.5,11.1,POR,272250
Kenny Carr,/players/c/carrke01.html,1978,1987,North Carolina State University,false,"DeMatha Catholic in Hyattsville, Maryland",-1.18,1.10,carrke01,1986-87,POR,12.8,2.9,.098,-1.3,0.2,,31,NBA,49,29.4,.504,.746,10.2,1.7,0.6,0.3,10.8,POR,
