name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-1.62,0.09,tabakza01,1994-95,HOU,11.2,0.2,.043,-8.2,-0.3,,NBA,500000,24,37,4.9,.453,.614,1.5,0.1,0.1,0.2,2.0,HOU
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-3.42,-0.98,tabakza01,1995-96,TOR,12.4,1.1,.038,-4.3,-0.8,,NBA,650000,25,67,19.9,.543,.561,4.8,0.9,0.4,0.5,7.7,TOR
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-1.27,0.14,tabakza01,1996-97,TOR,12.5,0.1,.032,-3.6,-0.1,,NBA,800000,26,13,16.8,.451,.690,3.8,1.1,0.5,0.8,6.5,TOR
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-3.65,-0.95,tabakza01,1997-98,TOT,9.7,0.0,-0.001,-5.4,-0.8,,NBA,950000,27,57,17.3,.467,.377,3.7,0.8,0.4,0.7,5.4,"TOR,BOS"
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",,,tabakza01,1998-99,Did Not Play (other pro league—Turkey),,,,,,,,,28,,,,,,,,,,Did Not Play (other pro league—Turkey)
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-0.46,0.20,tabakza01,1999-00,IND,13.6,0.1,.054,-1.6,0.0,,NBA,1100000,29,18,6.3,.471,.625,1.8,0.2,0.2,0.5,2.1,IND
Zan Tabak,/players/t/tabakza01.html,1995,2001,,false,"Split in Split, Croatia",-1.01,0.63,tabakza01,2000-01,IND,10.5,0.9,.056,-3.2,-0.2,,NBA,1200000,30,55,14.1,.527,.426,3.9,0.6,0.2,0.5,3.9,IND
