name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",-5.75,-3.80,fizerma01,2000-01,CHI,11.0,-0.7,-0.022,-7.2,-2.1,,NBA,2562000,22,72,21.9,.430,.727,4.3,1.1,0.4,0.3,9.5,CHI
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",-2.79,-0.75,fizerma01,2001-02,CHI,14.2,1.1,.026,-3.7,-0.8,,NBA,2754120,23,76,25.8,.438,.668,5.6,1.6,0.6,0.3,12.3,CHI
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",-0.64,0.88,fizerma01,2002-03,CHI,17.9,1.4,.082,-2.4,-0.1,,NBA,2946240,24,38,21.3,.465,.657,5.7,1.3,0.4,0.4,11.7,CHI
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",-2.03,0.07,fizerma01,2003-04,CHI,13.4,0.5,.033,-5.6,-0.7,,NBA,3726994,25,46,16.0,.383,.750,4.4,0.9,0.3,0.2,7.8,CHI
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",-2.34,-0.05,fizerma01,2004-05,MIL,11.6,0.4,.023,-3.5,-0.3,,NBA,735960,26,54,16.7,.455,.680,3.2,1.2,0.5,0.2,6.2,MIL
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false,"Arcadia in Arcadia, Louisiana",+0.35,0.07,fizerma01,2005-06,NOK,14.1,0.0,.056,-7.4,-0.1,,NBA,,27,3,13.0,.529,.500,2.3,0.3,0.0,0.0,6.7,NOK
