bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
leverfa01,1982-83,22,POR,NBA,81,24.9,.431,.730,2.8,5.3,1.9,0.2,7.8,14.8,4.4,.104,1.2,1.7,
leverfa01,1983-84,23,POR,NBA,81,24.8,.447,.743,2.7,4.6,1.7,0.4,9.7,15.8,4.8,.114,1.5,1.8,
leverfa01,1984-85,24,DEN,NBA,82,31.2,.430,.770,5.0,7.5,2.5,0.4,12.8,16.7,5.2,.098,2.3,2.8,
leverfa01,1985-86,25,DEN,NBA,78,33.5,.441,.725,5.4,7.5,2.3,0.2,13.8,15.7,4.5,.082,2.0,2.6,
leverfa01,1986-87,26,DEN,NBA,82,37.2,.469,.782,8.9,8.0,2.5,0.4,18.9,20.8,9.7,.153,5.6,5.9,All-NBA (2nd)
leverfa01,1987-88,27,DEN,NBA,82,37.3,.473,.785,8.1,7.8,2.7,0.3,18.9,20.5,10.4,.163,6.1,6.2,
leverfa01,1988-89,28,DEN,NBA,71,38.7,.457,.785,9.3,7.9,2.7,0.3,19.8,20.6,9.2,.161,5.7,5.3,
leverfa01,1989-90,29,DEN,NBA,79,35.8,.443,.804,9.3,6.5,2.1,0.2,18.3,19.9,8.8,.149,5.6,5.4,
leverfa01,1990-91,30,DAL,NBA,4,21.5,.391,.786,3.8,3.0,1.5,0.8,7.3,13.5,0.0,.014,-1.6,0.0,
leverfa01,1991-92,31,DAL,NBA,31,28.5,.387,.750,5.2,3.5,1.5,0.4,11.2,14.9,1.3,.070,1.2,0.7,
leverfa01,1992-93,32,Did Not Play (injury),,,,,,,,,,,,,,,,
leverfa01,1993-94,33,DAL,NBA,81,24.0,.408,.765,3.5,2.6,2.0,0.2,6.9,13.2,2.9,.070,0.4,1.2,
