bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
schluda01,1968-69,23,SFW,NBA,31,18.0,.433,.549,7.0,1.0,,,5.8,12.6,1.1,.095,,
schluda01,1969-70,24,SFW,NBA,63,10.9,.491,.619,3.7,0.4,,,3.6,11.8,1.6,.113,,
schluda01,1970-71,25,POR,NBA,80,22.8,.488,.656,7.9,2.4,,,8.2,14.0,4.4,.116,,
schluda01,1971-72,26,POR,NBA,81,33.2,.525,.739,10.6,3.5,,,11.7,15.8,6.3,.112,,
schluda01,1972-73,27,PHI,NBA,78,14.6,.524,.699,4.5,1.3,,,5.4,15.3,3.0,.126,,
schluda01,1973-74,28,ATL,NBA,57,9.6,.467,.760,2.7,0.8,0.4,0.4,2.9,13.3,1.1,.098,-0.6,0.2
schluda01,1974-75,29,BUF,NBA,76,12.7,.517,.694,3.5,1.4,0.2,0.6,3.5,13.1,2.0,.102,0.7,0.7
schluda01,1975-76,30,BUF,NBA,71,10.9,.500,.667,3.2,1.1,0.2,0.2,2.5,10.7,1.2,.076,-1.7,0.1
schluda01,1976-77,31,PHO,NBA,39,8.6,.361,.581,2.1,1.0,0.2,0.2,1.8,8.5,0.1,.009,-3.4,-0.1
schluda01,1977-78,32,POR,NBA,10,10.9,.421,.500,2.1,1.8,0.3,0.2,2.5,6.0,0.0,-0.006,-4.1,-0.1
