bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
vanlino01,1969-70,22,CIN,NBA,81,35.7,.403,.741,5.0,6.2,,,9.5,9.8,2.1,.035,,,
vanlino01,1970-71,23,CIN,NBA,82,40.5,.420,.816,7.1,10.1,,,16.0,16.2,6.0,.086,,,
vanlino01,1971-72,24,"CIN,CHI",NBA,79,30.6,.439,.790,4.5,6.9,,,11.5,16.0,7.7,.152,,,
vanlino01,1972-73,25,CHI,NBA,80,36.0,.445,.787,5.5,7.1,,,13.9,15.7,7.7,.129,,,
vanlino01,1973-74,26,CHI,NBA,80,35.8,.406,.778,4.7,6.9,2.0,0.1,14.3,15.5,5.2,.087,3.0,3.6,All-NBA (2nd)
vanlino01,1974-75,27,CHI,NBA,70,37.0,.420,.792,4.7,5.8,2.0,0.2,15.0,15.5,5.6,.104,2.6,3.0,
vanlino01,1975-76,28,CHI,NBA,76,39.8,.366,.737,5.4,6.6,2.0,0.3,12.6,13.0,3.2,.051,1.5,2.7,
vanlino01,1976-77,29,CHI,NBA,82,37.8,.412,.778,4.5,7.8,1.6,0.2,10.2,13.4,5.5,.085,0.9,2.3,
vanlino01,1977-78,30,CHI,NBA,78,32.4,.419,.751,3.6,6.8,1.8,0.1,7.3,11.7,3.8,.073,-0.3,1.1,
vanlino01,1978-79,31,MIL,NBA,38,14.6,.390,.904,1.1,4.2,1.1,0.1,2.8,11.0,1.1,.093,-3.2,-0.2,
