bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
barneji02,1966-67,22,BOS,NBA,48,8.0,.370,,.370,.370,.677,1.1,0.9,,,4.1,10.4,0.0,.003,,
barneji02,1967-68,23,SDR,NBA,47,22.7,.393,,.393,.393,.712,3.3,2.9,,,9.4,11.2,0.3,.012,,
barneji02,1968-69,24,SDR,NBA,80,29.3,.425,,.425,.425,.752,4.5,4.2,,,14.5,14.7,4.8,.098,,
barneji02,1969-70,25,SDR,NBA,80,26.3,.451,,.451,.451,.790,3.8,3.6,,,14.9,16.0,5.4,.122,,
barneji02,1970-71,26,POR,NBA,78,30.4,.436,,.436,.436,.811,4.8,4.1,,,18.5,17.0,4.7,.094,,
barneji02,1971-72,27,GSW,NBA,80,27.5,.409,,.409,.409,.836,3.1,3.9,,,12.4,14.1,3.7,.081,,
barneji02,1972-73,28,GSW,NBA,82,27.0,.467,,.467,.467,.843,3.1,3.7,,,11.8,15.2,6.1,.132,,
barneji02,1973-74,29,GSW,NBA,77,21.9,.464,,.464,.464,.814,2.9,2.7,0.7,0.1,11.5,16.4,4.1,.118,-0.7,0.6
barneji02,1974-75,30,"NOJ,NYK",NBA,73,24.3,.437,,.437,.437,.836,2.5,2.4,0.6,0.2,10.5,13.2,2.5,.069,-2.5,-0.2
barneji02,1975-76,31,NYK,NBA,71,14.5,.442,,.442,.442,.789,1.2,1.3,0.3,0.0,5.9,12.5,1.5,.072,-3.1,-0.3
barneji02,1976-77,32,PHI,NBA,16,14.4,.438,,.438,.438,.556,0.9,1.4,0.3,0.0,4.1,7.4,0.1,.014,-7.2,-0.3
