bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
willobi01,1976-77,19,ATL,NBA,39,14.1,.444,,.444,.444,.683,4.4,0.3,0.5,0.6,4.9,
willobi01,1977-78,20,BUF,NBA,56,19.3,.430,,.430,.430,.800,3.9,0.7,0.4,0.8,6.7,
willobi01,1978-79,21,Did Not Play,,,,,,,,,,,,,,
willobi01,1979-80,22,CLE,NBA,78,18.6,.479,.111,.487,.480,.756,4.2,0.9,0.4,0.8,6.9,
willobi01,1980-81,23,HOU,NBA,55,20.8,.523,,.523,.523,.766,4.1,1.2,0.3,0.6,6.3,
willobi01,1981-82,24,HOU,NBA,69,21.4,.517,.429,.519,.520,.727,3.8,1.1,0.4,0.9,7.8,
willobi01,1982-83,25,"SAS,NJN",NBA,62,18.5,.454,.429,.455,.463,.782,3.2,1.0,0.4,0.3,5.5,
willobi01,1983-84,26,NJN,NBA,67,14.0,.481,.000,.494,.481,.873,2.9,0.8,0.3,0.4,4.5,
