name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-1.70,0.12,arroyca01,2001-02,TOT,12.4,0.4,.047,-4.8,-0.3,,NBA,332817,22,37,10.0,.441,.722,1.1,1.9,0.3,0.0,3.0,"TOR,DEN"
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-2.98,-0.15,arroyca01,2002-03,UTA,14.1,0.3,.057,-3.7,-0.1,,NBA,546000,23,44,6.5,.459,.818,0.6,1.2,0.3,0.0,2.8,UTA
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",+0.42,3.68,arroyca01,2003-04,UTA,16.8,4.7,.112,-0.3,0.9,,NBA,800000,24,71,28.3,.441,.804,2.6,5.0,0.9,0.1,12.6,UTA
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-4.34,-2.15,arroyca01,2004-05,TOT,11.3,1.3,.043,-4.8,-1.0,,NBA,4000000,25,70,20.7,.389,.799,1.5,4.0,0.6,0.1,6.6,"UTA,DET"
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-2.02,0.21,arroyca01,2005-06,TOT,15.6,2.7,.107,-2.3,-0.1,,NBA,4000000,26,77,15.5,.444,.774,1.7,3.0,0.5,0.1,5.8,"DET,ORL"
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-0.65,1.46,arroyca01,2006-07,ORL,14.4,2.5,.094,-2.0,0.0,,NBA,4100000,27,72,18.1,.425,.795,1.9,2.8,0.5,0.0,7.7,ORL
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-1.81,0.45,arroyca01,2007-08,ORL,12.8,2.8,.107,-2.2,-0.1,,NBA,4100000,28,62,20.5,.451,.853,1.8,3.5,0.4,0.0,6.9,ORL
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",,,arroyca01,2008-09,Did Not Play (other pro league—Israel),,,,,,,,,29,,,,,,,,,,Did Not Play (other pro league—Israel)
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-0.89,1.57,arroyca01,2009-10,MIA,12.3,3.7,.113,-2.0,0.0,,NBA,1107572,30,72,22.0,.475,.844,1.8,3.1,0.5,0.1,6.1,MIA
Carlos Arroyo,/players/a/arroyca01.html,2002,2011,Florida International University,false,"Colegio Santiago Apostol in Fajardo, Puerto Rico",-2.31,-0.05,arroyca01,2010-11,TOT,9.0,1.7,.068,-3.1,-0.3,,NBA,1223166,31,64,18.5,.440,.830,1.6,2.0,0.3,0.0,4.8,"MIA,BOS"
