bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
wittmra01,1983-84,24,ATL,NBA,78,13.7,.503,.609,0.9,0.9,0.2,0.0,4.5,9.3,1.2,.054,-4.2,-0.6,,
wittmra01,1984-85,25,Atlanta Hawks,NBA,41,28.5,.531,.732,1.8,3.0,0.7,0.2,9.9,11.2,1.6,.065,-1.9,0.0,,170000
wittmra01,1985-86,26,Atlanta Hawks,NBA,81,34.1,.530,.770,2.1,3.8,1.0,0.2,12.9,13.0,5.9,.103,0.8,1.9,,200000
wittmra01,1986-87,27,ATL,NBA,71,28.9,.503,.787,1.7,3.0,0.5,0.2,12.7,13.0,4.2,.098,-0.6,0.7,,
wittmra01,1987-88,28,Atlanta Hawks,NBA,82,29.4,.478,.798,2.1,3.7,0.6,0.2,10.0,11.6,3.5,.070,-1.3,0.4,,350000
wittmra01,1988-89,29,Sacramento Kings,NBA,64,17.5,.455,.683,1.3,1.7,0.4,0.0,4.5,8.7,0.7,.031,-4.4,-0.7,,400000
wittmra01,1988-89,29,Sacramento Kings,NBA,31,13.4,.427,.727,0.8,1.0,0.3,0.0,3.8,8.2,0.2,.018,-6.1,-0.4,,400000
wittmra01,1988-89,29,Sacramento Kings,NBA,33,21.3,.473,.632,1.6,2.4,0.4,0.1,5.2,9.0,0.6,.038,-3.4,-0.3,,400000
wittmra01,1989-90,30,IND,NBA,61,8.9,.508,.833,0.5,0.6,0.1,0.1,2.1,6.9,0.0,.004,-6.5,-0.6,,
wittmra01,1990-91,31,Indiana Pacers,NBA,41,8.7,.443,.667,0.8,0.6,0.2,0.1,1.8,7.4,0.0,.006,-5.1,-0.3,,500000
wittmra01,1991-92,32,Indiana Pacers,NBA,24,4.8,.421,.500,0.4,0.5,0.1,0.0,0.7,5.4,0.0,.008,-6.9,-0.1,,550000
