bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
nachbbo01,2002-03,22,Houston Rockets,NBA,14,5.5,.355,.500,0.8,0.2,0.1,0.1,2.1,5.8,-0.1,-0.053,-8.1,-0.1,,1224000
nachbbo01,2003-04,23,Houston Rockets,NBA,45,11.5,.356,.724,1.6,0.7,0.3,0.3,3.1,8.3,0.8,.071,-2.4,-0.1,,1396440
nachbbo01,2004-05,24,Houston Rockets,NBA,71,18.9,.392,.829,2.6,1.0,0.4,0.2,7.0,10.1,1.7,.061,-2.6,-0.2,,1493880
nachbbo01,2004-05,24,Houston Rockets,NBA,16,12.8,.349,.750,1.9,0.6,0.1,0.0,3.1,6.1,0.3,.080,-3.6,-0.1,,1493880
nachbbo01,2004-05,24,Houston Rockets,NBA,55,20.7,.397,.838,2.8,1.2,0.5,0.3,8.1,10.9,1.4,.057,-2.5,-0.1,,1493880
nachbbo01,2005-06,25,New Orleans/Oklahoma City Hornets,NBA,36,13.9,.346,.682,1.7,0.8,0.4,0.1,4.4,7.2,0.1,.005,-4.3,-0.3,,2500000
nachbbo01,2005-06,25,New Orleans/Oklahoma City Hornets,NBA,25,16.2,.339,.694,2.0,0.9,0.5,0.2,5.0,7.3,0.0,.002,-4.0,-0.2,,2500000
nachbbo01,2005-06,25,New Orleans/Oklahoma City Hornets,NBA,11,8.8,.375,.625,1.0,0.5,0.3,0.0,2.8,6.9,0.0,.016,-5.5,-0.1,,2500000
nachbbo01,2006-07,26,New Jersey Nets,NBA,76,20.2,.457,.805,3.3,0.8,0.4,0.3,9.2,14.5,4.1,.128,-1.0,0.4,,2500000
nachbbo01,2007-08,27,New Jersey Nets,NBA,75,22.1,.402,.786,3.5,1.2,0.6,0.3,9.8,12.4,2.2,.064,-2.4,-0.2,,2500000
