bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
silaspa01,1964-65,21,STL,NBA,79,15.7,.373,,.373,.373,.506,7.3,0.6,,,4.6,12.3,1.2,.046,,
silaspa01,1965-66,22,STL,NBA,46,12.7,.405,,.405,.405,.574,5.1,0.5,,,3.8,11.4,0.5,.040,,
silaspa01,1966-67,23,STL,NBA,77,20.4,.429,,.429,.429,.531,8.7,1.0,,,6.8,12.9,1.8,.054,,
silaspa01,1967-68,24,STL,NBA,82,32.3,.458,,.458,.458,.705,11.7,2.0,,,13.4,15.9,6.9,.125,,
silaspa01,1968-69,25,ATL,NBA,79,23.5,.419,,.419,.419,.613,9.4,1.8,,,8.7,15.4,3.3,.085,,
silaspa01,1969-70,26,PHO,NBA,78,36.4,.464,,.464,.464,.607,11.7,2.7,,,12.8,12.8,3.3,.056,,
silaspa01,1970-71,27,PHO,NBA,81,36.3,.428,,.428,.428,.685,12.5,3.0,,,11.9,14.1,6.7,.110,,
silaspa01,1971-72,28,PHO,NBA,80,38.5,.470,,.470,.470,.773,11.9,4.3,,,17.5,18.3,11.0,.172,,
silaspa01,1972-73,29,BOS,NBA,80,32.7,.470,,.470,.470,.700,13.0,3.1,,,13.3,17.9,11.5,.210,,
silaspa01,1973-74,30,BOS,NBA,82,31.7,.440,,.440,.440,.783,11.2,2.3,0.8,0.2,11.5,14.5,7.7,.141,1.3,2.2
silaspa01,1974-75,31,BOS,NBA,82,32.5,.417,,.417,.417,.709,12.5,2.7,0.7,0.3,10.6,14.6,7.2,.130,1.2,2.2
silaspa01,1975-76,32,BOS,NBA,81,32.9,.426,,.426,.426,.709,12.7,2.5,0.7,0.4,10.7,14.6,7.2,.129,1.4,2.3
silaspa01,1976-77,33,DEN,NBA,81,24.2,.360,,.360,.360,.667,7.5,1.6,0.7,0.3,7.2,10.8,2.5,.062,-2.5,-0.2
silaspa01,1977-78,34,SEA,NBA,82,26.5,.397,,.397,.397,.586,8.1,1.8,0.8,0.2,5.8,10.2,3.1,.067,0.2,1.2
silaspa01,1978-79,35,SEA,NBA,82,23.9,.423,,.423,.423,.598,7.0,1.4,0.4,0.2,5.6,10.4,3.9,.096,0.0,1.0
silaspa01,1979-80,36,SEA,NBA,82,19.5,.378,,.378,.378,.654,5.3,0.8,0.3,0.1,3.8,8.2,2.2,.066,-2.3,-0.1
