bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
anderwi01,1988-89,22,San Antonio Spurs,NBA,81,33.8,.498,.775,5.1,4.6,1.9,0.8,18.6,16.6,4.9,.085,1.5,2.4,,500000
anderwi01,1989-90,23,SAS,NBA,82,34.0,.492,.748,4.5,4.4,1.4,0.7,15.7,15.2,6.5,.111,1.4,2.4,,
anderwi01,1990-91,24,San Antonio Spurs,NBA,75,34.6,.457,.798,4.7,4.8,1.1,0.6,14.4,13.0,4.8,.089,0.1,1.4,,725000
anderwi01,1991-92,25,San Antonio Spurs,NBA,57,33.1,.455,.775,5.3,5.3,0.9,0.9,13.1,13.8,3.3,.083,0.7,1.3,,775000
anderwi01,1992-93,26,San Antonio Spurs,NBA,38,14.7,.430,.786,1.5,2.1,0.4,0.2,4.8,8.7,-0.1,-0.007,-5.2,-0.5,,2075000
anderwi01,1993-94,27,San Antonio Spurs,NBA,80,31.1,.471,.848,3.0,4.3,0.9,0.6,11.9,14.2,5.6,.107,0.0,1.3,,2075000
anderwi01,1994-95,28,San Antonio Spurs,NBA,38,14.6,.469,.732,1.4,1.4,0.7,0.3,4.9,10.3,0.7,.061,-1.7,0.0,,2075000
anderwi01,1995-96,29,Toronto Raptors,NBA,76,27.1,.436,.810,3.2,2.6,1.0,0.8,9.8,11.3,1.4,.033,-2.5,-0.3,,2075000
anderwi01,1995-96,29,Toronto Raptors,NBA,49,31.9,.440,.856,3.8,3.0,1.2,1.0,12.4,11.9,0.9,.027,-2.5,-0.2,,2075000
anderwi01,1995-96,29,Toronto Raptors,NBA,27,18.4,.421,.613,2.2,1.8,0.6,0.3,5.0,9.2,0.5,.052,-2.6,-0.1,,2075000
anderwi01,1996-97,30,MIA,NBA,28,10.8,.453,.850,1.5,1.2,0.5,0.1,3.0,12.6,0.9,.142,0.8,0.2,,
