name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Age,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team,Salary
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-2.49,-0.14,kemptti01,1986-87,LAC,10.2,1.3,.066,-2.7,-0.2,,23,NBA,66,14.2,.471,.693,2.9,0.8,0.6,0.2,4.4,LAC,
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",,,kemptti01,1987-88,Did Not Play (other pro league—Italy),,,,,,,24,,,,,,,,,,,Did Not Play (other pro league—Italy),
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-2.89,-0.53,kemptti01,1988-89,CHH,10.4,1.0,.036,-2.3,-0.1,,25,NBA,79,17.0,.510,.686,3.8,1.3,0.5,0.2,6.1,CHH,125000
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-1.92,0.26,kemptti01,1989-90,DEN,10.7,1.3,.060,-2.5,-0.1,,26,NBA,71,14.9,.490,.675,3.1,1.7,0.4,0.1,5.4,DEN,
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",,,kemptti01,1990-91,Did Not Play (other pro league—Italy),,,,,,,27,,,,,,,,,,,Did Not Play (other pro league—Italy),
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",,,kemptti01,1991-92,Did Not Play (other pro league—Italy),,,,,,,28,,,,,,,,,,,Did Not Play (other pro league—Italy),
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-1.06,0.14,kemptti01,1992-93,PHO,8.6,0.1,.019,-4.5,-0.1,,29,NBA,30,5.6,.396,.581,1.3,0.6,0.1,0.1,1.9,PHO,500000
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-1.56,0.11,kemptti01,1993-94,TOT,5.7,-0.1,-0.021,-4.8,-0.1,,30,NBA,13,10.5,.395,.563,1.8,0.7,0.5,0.2,3.0,"CHH,CLE",650000
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",,,kemptti01,1994-95,Did Not Play (other pro league—France),,,,,,,31,,,,,,,,,,,Did Not Play (other pro league—France),
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",+0.13,0.02,kemptti01,1995-96,ATL,-6.2,0.0,-0.060,-9.1,0.0,,32,NBA,3,3.7,,,0.7,0.3,0.0,0.0,0.0,ATL,
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-0.41,0.07,kemptti01,1996-97,SAS,-1.0,-0.2,-0.167,-10.0,-0.1,,33,NBA,10,5.9,.200,1.000,0.8,0.2,0.1,0.1,0.4,SAS,
Tim Kempton,/players/k/kemptti01.html,1987,1998,University of Notre Dame,false,"Saint Dominic in Oyster Bay, New York",-0.42,0.06,kemptti01,1997-98,TOT,-1.4,-0.1,-0.147,-9.2,-0.1,,34,NBA,8,5.9,.222,,0.8,0.4,0.1,0.3,0.5,"ORL,TOR",272250
