bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
feickja01,1996-97,22,"CHH,SAS",NBA,41,15.2,.357,.357,.357,.373,.507,5.2,0.6,0.4,0.3,3.7,11.1,0.2,.016,-4.6,-0.4
feickja01,1997-98,23,MIL,NBA,45,10.0,.433,.308,.455,.456,.488,2.8,0.4,0.6,0.4,2.3,12.1,0.9,.091,-0.4,0.2
feickja01,1998-99,24,"MIL,NJN",NBA,28,30.4,.500,,.500,.500,.717,10.3,0.9,0.9,0.6,6.3,14.2,2.2,.123,0.2,0.5
feickja01,1999-00,25,NJN,NBA,81,27.7,.428,1.000,.424,.431,.707,9.3,0.8,0.5,0.5,5.7,12.3,4.8,.103,-1.7,0.2
feickja01,2000-01,26,NJN,NBA,6,24.8,.348,,.348,.348,.500,9.3,0.8,1.3,0.5,3.7,10.2,0.2,.050,-3.8,-0.1
