bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
hanzlbi01,1980-81,23,SEA,NBA,74,17.0,.478,.200,.482,.479,.793,2.1,1.5,0.8,0.3,5.4,11.0,2.4,.091,-0.4,0.5
hanzlbi01,1981-82,24,SEA,NBA,81,24.4,.468,.000,.473,.468,.784,3.3,2.3,1.0,0.4,5.8,9.6,4.1,.100,0.6,1.3
hanzlbi01,1982-83,25,DEN,NBA,82,18.9,.428,.143,.433,.429,.781,2.9,3.3,0.9,0.2,6.1,10.6,1.0,.030,-2.1,-0.1
hanzlbi01,1983-84,26,DEN,NBA,80,18.4,.431,.250,.439,.436,.807,2.6,3.2,0.9,0.2,5.4,10.6,1.9,.062,-1.6,0.1
hanzlbi01,1984-85,27,DEN,NBA,80,20.9,.421,.067,.432,.422,.756,2.6,2.6,1.1,0.3,7.8,10.5,2.2,.063,-1.7,0.1
hanzlbi01,1985-86,28,DEN,NBA,79,25.1,.447,.195,.461,.452,.785,3.3,4.0,1.4,0.2,12.5,15.3,4.7,.115,0.5,1.2
hanzlbi01,1986-87,29,DEN,NBA,73,27.3,.412,.275,.428,.426,.786,3.5,3.8,1.2,0.4,13.0,13.9,3.5,.085,-1.1,0.5
hanzlbi01,1987-88,30,DEN,NBA,77,17.3,.380,.188,.391,.385,.791,2.2,2.2,0.8,0.2,4.5,8.2,1.3,.046,-2.6,-0.2
hanzlbi01,1988-89,31,DEN,NBA,41,17.1,.437,.200,.445,.440,.782,2.3,2.1,0.6,0.1,4.9,8.6,0.7,.047,-3.8,-0.3
hanzlbi01,1989-90,32,DEN,NBA,81,19.8,.452,.194,.474,.460,.743,2.6,2.3,1.0,0.4,6.2,10.3,2.9,.086,-0.4,0.6
