bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
hollili01,1975-76,22,POR,NBA,74,25.6,.421,,.421,.421,.721,2.4,4.1,1.8,0.4,10.8,14.3,1.8,.047,-0.9,0.5
hollili01,1976-77,23,POR,NBA,76,29.3,.432,,.432,.432,.749,2.8,4.1,2.2,0.5,14.7,15.6,4.0,.086,0.4,1.3
hollili01,1977-78,24,POR,NBA,81,33.8,.442,,.442,.442,.743,3.4,4.7,1.9,0.4,15.9,14.3,5.2,.091,0.5,1.7
hollili01,1978-79,25,POR,NBA,64,30.7,.454,,.454,.454,.778,2.3,5.1,1.8,0.4,15.3,14.0,2.3,.055,-2.1,-0.1
hollili01,1979-80,26,"POR,PHI",NBA,47,25.7,.403,.150,.413,.406,.721,1.9,3.4,1.6,0.2,11.2,10.5,0.1,.006,-4.0,-0.6
hollili01,1980-81,27,PHI,NBA,82,26.3,.470,.133,.477,.471,.731,2.3,4.3,1.3,0.2,9.5,11.0,2.9,.064,-1.7,0.2
hollili01,1981-82,28,PHI,NBA,81,27.9,.477,.125,.484,.478,.702,2.3,3.9,1.3,0.2,11.0,12.5,3.4,.072,-1.4,0.3
hollili01,1982-83,29,SDC,NBA,56,32.9,.437,.143,.445,.439,.721,2.3,6.7,2.0,0.3,13.5,12.8,0.6,.016,-3.3,-0.6
hollili01,1983-84,30,DET,NBA,32,6.8,.381,.000,.393,.381,.846,0.7,1.9,0.4,0.0,1.8,10.5,0.1,.013,-5.5,-0.2
hollili01,1984-85,31,HOU,NBA,80,24.4,.461,.231,.467,.464,.794,2.2,5.2,1.0,0.1,7.6,11.1,2.5,.062,-2.7,-0.3
