bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
recasel01,1994-95,27,DEN,NBA,3,4.3,.167,1.000,0.7,0.3,1.0,0.0,2.0,15.3,0.0,-0.047,-2.8,0.0,,
recasel01,1995-96,28,Houston Rockets,NBA,63,20.2,.415,.864,2.3,2.7,0.4,0.1,6.9,12.3,2.6,.099,-1.7,0.1,,225000
recasel01,1996-97,29,Atlanta Hawks,NBA,71,17.0,.423,.879,1.6,1.3,0.5,0.1,5.7,11.5,2.5,.099,-1.9,0.0,,247500
recasel01,1997-98,30,Atlanta Hawks,NBA,59,24.6,.456,.937,2.4,2.0,0.7,0.0,9.3,13.0,2.9,.095,-1.0,0.4,,326700
recasel01,1998-99,31,CHH,NBA,44,16.1,.446,.872,1.8,2.1,0.4,0.0,5.0,11.1,0.8,.052,-3.0,-0.2,,
recasel01,1999-00,32,Charlotte Hornets,NBA,7,4.0,.429,,0.6,0.7,0.0,0.0,1.0,13.1,0.1,.135,-3.6,0.0,,1100000
recasel01,2000-01,33,Charlotte Hornets,NBA,43,9.4,.333,.778,1.2,0.9,0.1,0.0,2.4,6.2,0.0,-0.004,-6.5,-0.5,,1200000
recasel01,2001-02,34,Charlotte Hornets,NBA,6,5.5,.333,1.000,0.0,0.8,0.2,0.0,0.8,5.3,0.0,.013,-12.2,-0.1,,1300000
recasel01,2001-02,34,Charlotte Hornets,NBA,1,2.0,,,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,.004,-6.3,0.0,,1300000
recasel01,2001-02,34,Charlotte Hornets,NBA,5,6.2,.333,1.000,0.0,1.0,0.2,0.0,1.0,6.2,0.0,.013,-12.6,-0.1,,1300000
