bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary,HS
hibbero01,2008-09,22,Indiana Pacers,NBA,70,14.4,.471,.667,3.5,0.7,0.3,1.1,7.1,16.1,2.1,.102,-1.3,0.2,,1465400,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2009-10,23,Indiana Pacers,NBA,81,25.1,.495,.754,5.7,2.0,0.4,1.6,11.7,16.2,4.1,.098,0.3,1.2,,1575360,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2010-11,24,Indiana Pacers,NBA,81,27.7,.461,.745,7.5,2.0,0.4,1.8,12.7,15.9,3.6,.077,-0.2,1.0,,1685280,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2011-12,25,Indiana Pacers,NBA,65,29.8,.497,.711,8.8,1.7,0.5,2.0,12.8,19.3,6.2,.154,3.0,2.4,,2588590,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2012-13,26,Indiana Pacers,NBA,79,28.7,.448,.741,8.3,1.4,0.5,2.6,11.9,17.3,6.1,.129,1.9,2.2,,13686750,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2013-14,27,Indiana Pacers,NBA,81,29.7,.439,.770,6.6,1.1,0.4,2.2,10.8,13.5,5.4,.108,-0.2,1.1,,14283844,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2014-15,28,Indiana Pacers,NBA,76,25.3,.446,.824,7.1,1.1,0.2,1.6,10.6,15.4,4.2,.105,-1.0,0.5,,14898938,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2015-16,29,Los Angeles Lakers,NBA,81,23.2,.443,.807,4.9,1.2,0.4,1.4,5.9,11.2,2.2,.056,-1.3,0.3,,15500000,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2016-17,30,Denver Nuggets,NBA,48,14.2,.544,.813,3.2,0.4,0.2,1.0,4.6,13.5,1.8,.129,-1.1,0.2,,5000000,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2016-17,30,Denver Nuggets,NBA,42,16.0,.542,.813,3.6,0.5,0.2,1.0,5.2,13.5,1.8,.129,-1.1,0.1,,5000000,"Georgetown Preparatory School in North Bethesda, Maryland"
hibbero01,2016-17,30,Denver Nuggets,NBA,6,1.8,.667,,0.3,0.2,0.0,0.3,0.7,16.3,0.0,.119,3.2,0.0,,5000000,"Georgetown Preparatory School in North Bethesda, Maryland"
