bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP
snydedi01,1966-67,22,STL,NBA,55,12.3,.432,.754,1.7,1.1,,,6.1,12.3,0.6,.045,,
snydedi01,1967-68,23,STL,NBA,75,21.6,.419,.772,2.6,2.2,,,8.6,10.4,1.8,.052,,
snydedi01,1968-69,24,PHO,NBA,81,26.0,.472,.725,4.0,2.6,,,12.1,13.9,3.7,.085,,
snydedi01,1969-70,25,"PHO,SEA",NBA,82,29.7,.528,.813,3.9,4.2,,,13.2,14.3,6.2,.121,,
snydedi01,1970-71,26,SEA,NBA,82,34.4,.531,.837,3.1,4.3,,,19.4,17.4,10.0,.170,,
snydedi01,1971-72,27,SEA,NBA,73,34.7,.529,.842,3.1,3.9,,,16.6,15.8,8.0,.152,,
snydedi01,1972-73,28,SEA,NBA,82,37.3,.463,.861,3.9,3.8,,,13.8,12.0,4.1,.065,,
snydedi01,1973-74,29,SEA,NBA,74,36.1,.481,.866,4.1,3.6,1.2,0.4,18.1,14.5,6.0,.107,0.1,1.4
snydedi01,1974-75,30,CLE,NBA,82,31.6,.504,.846,2.9,3.4,0.8,0.5,14.2,15.1,6.4,.118,0.4,1.6
snydedi01,1975-76,31,CLE,NBA,82,27.7,.501,.824,2.4,2.7,0.7,0.4,12.6,14.7,6.2,.131,0.3,1.3
snydedi01,1976-77,32,CLE,NBA,82,20.5,.456,.852,1.8,2.0,0.5,0.4,9.3,13.3,3.4,.097,-1.6,0.2
snydedi01,1977-78,33,CLE,NBA,58,11.4,.444,.875,0.8,1.0,0.4,0.3,4.8,12.0,0.9,.067,-3.2,-0.2
snydedi01,1978-79,34,SEA,NBA,56,9.6,.433,.843,0.9,1.1,0.3,0.1,3.7,10.8,0.9,.080,-4.1,-0.3
