bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
harrima01,2010-11,21,CLE,NBA,54,17.3,.374,.763,2.6,1.6,0.6,0.1,5.9,10.4,0.0,.002,-3.6,-0.4,
harrima01,2011-12,22,CLE,NBA,26,17.5,.400,.695,2.7,1.2,0.5,0.2,6.7,11.7,0.3,.030,-4.3,-0.3,
harrima01,2012-13,23,Did Not Play,,,,,,,,,,,,,,,,
harrima01,2013-14,24,LAL,NBA,9,20.0,.400,.833,3.8,1.2,0.4,0.1,8.1,10.9,0.0,.002,-4.9,-0.1,
harrima01,2014-15,25,Did Not Play,,,,,,,,,,,,,,,,
harrima01,2015-16,26,Did Not Play,,,,,,,,,,,,,,,,
harrima01,2016-17,27,DAL,NBA,4,6.3,.200,.500,2.3,0.5,0.0,0.0,2.0,-2.2,-0.2,-0.364,-18.8,-0.1,
