bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
russeca01,1966-67,22,NYK,NBA,77,22.0,.436,.785,3.3,2.4,,,11.3,14.2,2.2,.061,,,
russeca01,1967-68,23,NYK,NBA,82,28.0,.462,.808,4.6,2.4,,,16.9,16.7,5.9,.124,,,
russeca01,1968-69,24,NYK,NBA,50,32.9,.450,.796,4.2,2.3,,,18.3,15.2,4.1,.119,,,
russeca01,1969-70,25,NYK,NBA,78,20.0,.498,.775,3.0,1.7,,,11.5,16.9,5.2,.161,,,
russeca01,1970-71,26,NYK,NBA,57,18.5,.429,.773,3.4,1.4,,,9.2,14.7,2.0,.093,,,
russeca01,1971-72,27,GSW,NBA,79,36.7,.455,.833,5.4,3.1,,,21.4,17.3,7.3,.120,,,
russeca01,1972-73,28,GSW,NBA,80,30.4,.458,.864,4.4,2.3,,,15.7,15.0,5.2,.104,,,
russeca01,1973-74,29,GSW,NBA,82,31.4,.482,.835,4.3,2.3,0.7,0.2,20.5,17.6,7.1,.133,-1.2,0.5,
russeca01,1974-75,30,LAL,NBA,40,26.4,.455,.894,2.9,2.7,0.7,0.1,15.7,16.5,1.8,.083,-2.9,-0.2,
russeca01,1975-76,31,LAL,NBA,74,22.0,.463,.892,2.5,1.6,0.7,0.0,11.8,14.7,3.0,.090,-3.7,-0.7,
russeca01,1976-77,32,LAL,NBA,82,31.5,.490,.858,3.6,2.6,1.0,0.1,16.4,15.3,6.6,.123,-0.8,0.8,
russeca01,1977-78,33,CHI,NBA,36,21.9,.438,.860,2.3,1.7,0.5,0.1,8.8,11.6,1.1,.070,-3.2,-0.2,
